No	Player	Height	Position	Year born	Current Club
4	Rimantas Kaukėnas	1.92	Guard	1977	Montepaschi Siena
5	Giedrius Gustas	1.90	Guard	1980	Barons Riga
6	Jonas Mačiulis	2.00	Forward	1985	Žalgiris Kaunas
7	Darjuš Lavrinovič	2.12	Center	1979	UNICS Kazan
8	Ramūnas Šiškauskas	1.98	Guard	1978	CSKA Moscow
9	Darius Songaila	2.04	Forward	1978	Washington Wizards
10	Simas Jasaitis	2.00	Forward	1982	TAU Cerámica
11	Linas Kleiza	2.03	Forward	1985	Denver Nuggets
12	Kšyštof Lavrinovič	2.10	Center	1979	Montepaschi Siena
13	Šarūnas Jasikevičius	1.92	Guard	1976	Golden State Warriors
14	Paulius Jankūnas	2.05	Forward	1984	Žalgiris Kaunas
