Res.	Record	Opponent	Method	Round	Time	Location
Win	20-7	Lumumba Sayers	Submission (rear naked choke)	1	3:39	Castle Rock, Colorado
Loss	19-7	Jeremy Kimball	TKO (Punches)	2	2:29	Castle Rock, Colorado
Loss	19-6	Mats Nilsson	Submission (arm triangle choke)	2	4:17	Beirut , Lebanon
Win	19-5	Indalecio Tat Romero	Decision (unanimous)	3	5:00	Minneapolis, Minnesota
Win	18-5	Ryan Williams	Submission (triangle choke)	3	2:48	Minneapolis, Minnesota
Win	17-5	Ashkan Morvari	Decision (unanimous)	3	5:00	Rochester, Minnesota
Win	16-5	Jeremy Lafferty	Submission (punches)	1	2:02	Rochester, Minnesota
Loss	15-5	Ryan Ford	Submission (rear naked choke)	1	4:29	Edmonton, Alberta , Canada
Win	15-4	Travis Perzynski	Decision (unanimous)	3	5:00	Rochester, Minnesota
Win	14-4	Jay Ellis	TKO (punches)	1	2:53	Rochester, Minnesota
Loss	13-4	Beau Baker	Decision (unanimous)	3	5:00	Norfolk, Virginia
Win	13-3	Geno Roderick	Submission (rear naked choke)	1	3:25	Springfield, Illinois
Win	12-3	Joe Julianelle	TKO (punches)	1	0:50	Rochester, Minnesota
Loss	11-3	Anthony Johnson	KO (punches)	1	0:51	Broomfield, Colorado
Loss	11-2	Mac Danzig	Submission ( rear naked choke )	1	2:01	Las Vegas, Nevada
Win	11-1	Sidney Silva	KO (punch)	1	4:33	Las Vegas, Nevada
Win	10-1	Robert Farley	TKO (punches)	1	2:23	Sloan, Iowa
Win	9-1	Andy Normington	Submission (strikes)	1	N/A	Rochester, Minnesota
Win	8-1	Dan Washburn	Submission (strikes)	1	N/A	Rochester, Minnesota
Win	7-1	Sean Huffman	TKO (corner stoppage)	1	5:00	Minnesota
Loss	6-1	John Meyer	TKO (punches)	3	N/A	Hayward, Wisconsin
Win	6-0	Jim Abrille	TKO (corner stoppage)	1	5:00	Georgia
Win	5-0	Rob Marcks	TKO (corner stoppage)	1	N/A	Rochester, Minnesota
Win	4-0	Gerald Pearson	TKO (slam)	2	N/A	Fairfield, Ohio
Win	3-0	Adam Hill	TKO (punches)	2	N/A	Rochester, Minnesota
Win	2-0	Mike Van Meer	Decision (unanimous)	3	5:00	Ellsworth, Minnesota
Win	1-0	Jose Frausto	Submission (arm-triangle choke)	1	N/A	Rochester, Minnesota
