Place	Player	Country	Score	To par
1	Greg Norman	Australia	74-63-74=211	+1
2	Tsuneyuki Nakajima	Japan	74-67-71=212	+2
T3	Gordon J. Brand	England	71-68-75=214	+4
T3	Ian Woosnam	Wales	70-74-70=214	+4
T5	José Maria Cañizares	Spain	76-68-73=217	+7
T5	Nick Faldo	England	71-70-77=217	+7
T5	Gary Koch	United States	73-72-72=217	+7
T8	Raymond Floyd	United States	78-67-73=218	+8
T8	David Graham	Australia	75-73-70=218	+8
T8	Bernhard Langer	West Germany	72-70-76=218	+8
T8	Sam Torrance	Scotland	78-69-71=218	+8
