Week	Date	Opponent	Result	Attendance
1	September 4, 1994	Atlanta Falcons	W 31-28 OT	60,740
2	September 11, 1994	at Minnesota Vikings	L 10-3	57,349
3	September 19, 1994	at Dallas Cowboys	W 20-17 OT	64,102
4	September 25, 1994	New England Patriots	L 23-17	59,618
5	October 2, 1994	at Tampa Bay Buccaneers	L 24-14	38,012
6	October 9, 1994	San Francisco 49ers	L 27-21	77,340
7	Bye	Bye	Bye	Bye
8	October 23, 1994	Chicago Bears	W 21-16	73,574
9	October 30, 1994	at New York Giants	W 28-25 OT	75,124
10	November 6, 1994	at Green Bay Packers	L 38-30	54,995
11	November 13, 1994	Tampa Bay Buccaneers	W 14-9	50,814
12	November 20, 1994	at Chicago Bears	L 20-10	55,035
13	November 24, 1994	Buffalo Bills	W 35-21	75,672
14	December 4, 1994	Green Bay Packers	W 34-31	76,338
15	December 10, 1994	at New York Jets	W 18-7	56,080
16	December 17, 1994	Minnesota Vikings	W 41-19	73,881
17	December 25, 1994	at Miami Dolphins	L 27-20	70,980
