Year	Title	Role	Producer	Director
July 26, 2000	Pera O Bayong	(cameo)	Star Cinema	Edgar Mortiz
October 11, 2000	Minsan Ko Lang Sasabihin	Anna Liwanag	Millennium Cinema	Danilo P. Cabreira
November 15, 2000	Kahit Isang Saglit	Annie	Star Cinema	Gilbert Perez
June 20, 2001	Luv Text	Melissa	Maverick	Rowell Santiago
July 18, 2001	Mahal Kita...Kahit Sino Ka Pa	Karen	MMG	Jose Balagtas
August 29, 2001	Bakit 'Di Totohanin	Kate/Katong	Star Cinema	Boots Plata
January 9, 2002	Walang Iwanan... Peksman!	Helen	Jolo Films	Toto Natividad
January 30, 2002	May Pag-ibig Pa Kaya?	Emily	Starlight	Jose N. Carreon
May 22, 2002	Akala Mo...	Rizzette	Viva Films	Lyle Sacris
June 12, 2002	Magkapatid	Lisa	Viva Films	Joel Lamangan
July 31, 2002	Pakisabi Na Lang... Mahal Ko Siya	Geraldine	Regal Films	Boots Plata
August 28, 2002	Jologs	(cameo) Coffee Shop customer	Star Cinema	Gilbert Perez
October 23, 2002	Jeannie, Bakit Ngayon Ka Lang?	Jeannie	Viva Films	Ike Jarlego, Jr.
