Frequency	Callsign	Brand	Format	City of License	Website	Webcast
88.1	KHOY	Catholic Radio	Religious	Laredo	khoy.org	listen live
88.9	XHLDO	Radio Tamaulipas	Public Radio	Nuevo Laredo	tamaulipas.gob	[mms://200.23.59.10/radiotam listen live]
89.9	KBNL	Radio Manantial	Spanish Religious	Laredo	kbnl.com	listen live
91.3	XHNOE	Stereo 91	Spanish Contemporary	Nuevo Laredo	xhnoe.com	listen live
92.7	KJBZ	Z93	Tejano	Laredo	z93laredo.com	listen live
93.7	"XHNLT" PR	Radio Estereo Uncion FM	Christian Radio	Nuevo Laredo	uncionfeypoder.com	listen live
94.1	XHTLN	Imagen / RMX Laredo	Talk / Contemporary	Nuevo Laredo	rmx.com.mx	listen live
94.9	KQUR	Digital 94.9	Spanish Pop	Laredo	digital949.com	listen live
95.3	XHLPZ	La Traviesa	Spanish Regional	Lampazos	•	•
95.7	XHBK	Mega 95.7	Spanish Contemporary	Nuevo Laredo	radioavanzado.com	listen live
96.5	"XHTWO" PR	Radio Two	Norteño	Nuevo Laredo	•	listen live
97.1	XHNLO	La Caliente	Norteño	Nuevo Laredo	mmradio.com	listen live
98.1	KRRG	Big Buck Country	Country	Laredo	bigbuck98.com	listen live
99.3	XHNK	40 Principales	Top 40	Nuevo Laredo	radiorama.com	listen live
100.5	KBDR	La Ley	Tejano	Laredo	laley1005.com	listen live
101.5	XHAS	Ke Buena	Norteño	Nuevo Laredo	kebuena.com	listen live
102.3	XHMW	Stereo Vida	AC/Oldies	Nuevo Laredo	radiorama.com	listen live
102.9	none PR	La Guerrera de la Frontera	International	Nuevo Laredo	laguerrera.mx	listen live
103.3	none PR	Radio 33	Spanish Religious	Nuevo Laredo	feypoder.com	listen live
104.5	none PR	2 Beat	Electronica	Nuevo Laredo	•	•
104.9	XHNLR	Radio UAT	University Radio	Nuevo Laredo	uat.mx	listen live
105.1	none PR	RN Radio	Spanish	Nuevo Laredo	rn105.com	listen live
105.5	none PR	Mas Musica	Spanish	Nuevo Laredo	•	•
106.1	KNEX	Hot 106.1	Urban / Rhythmic Top 40	Laredo	hot1061.com	listen live
106.5	none PR	Radio Voz	Norteño	Nuevo Laredo	radiovoz1065.net	listen live
107.3	XHGTS	107.3 Me Gusta	Spanish Pop	Nuevo Laredo	xhgts.com	listen live
162.55	WXK26	NOAA Weather Radio	Weather	Laredo	noaa.gov	•
