Score	Shooter	Date	Comp	Place
379	Nina Stoliarova ( URS )	1969	ECH	Paris , France
379	Nina Stoliarova ( URS )	1972	ECH	Belgrade , Yugoslavia
384	Zinaida Simonian ( URS )	1973	ECH	Linz , Austria
387	Nina Stoliarova ( URS )	1974	ECH	Enschede , Netherlands
387	Marina Dobrantcheva ( URS )	1985	ECH	Varna , Bulgaria
387	Anke Völker ( GDR )	1986	WCH	Suhl , East Germany
391	Jasna Šekarić ( YUG )	1988	WCF	Munich , West Germany
New targets from 1989	New targets from 1989	New targets from 1989	New targets from 1989	New targets from 1989
388	Svetlana Smirnova ( URS )	1989	ECH	Copenhagen , Denmark
392	Liselotte Breker ( FRG )	1989	WC	Zagreb , Yugoslavia
392	Svetlana Smirnova ( RUS )	1993	ECH	Brno , Czech Republic
392	Jasna Šekarić ( YUG )	1996	WCF	Näfels , Switzerland
393	Svetlana Smirnova ( RUS )	23 May 1998	WC	Munich , Germany
