Rider	Bike	Laps	Time	Grid
Troy Bayliss	Ducati 999 F07	22	36:54.133	3
James Toseland	Honda CBR1000RR	22	+0.009	1
Max Biaggi	Suzuki GSX-R1000 K7	22	+7.439	4
Troy Corser	Yamaha YZF-R1	22	+12.379	6
Roberto Rolfo	Honda CBR1000RR	22	+23.052	11
Michel Fabrizio	Honda CBR1000RR	22	+23.158	16
Max Neukirchner	Suzuki GSX-R1000 K6	22	+23.311	7
Fonsi Nieto	Kawasaki ZX-10R	22	+24.147	10
Jakub Smrž	Ducati 999 F05	22	+29.660	12
Régis Laconi	Kawasaki ZX-10R	22	+32.301	13
Yukio Kagayama	Suzuki GSX-R1000 K7	22	+32.389	8
Shinichi Nakatomi	Yamaha YZF-R1	22	+39.091	17
Josh Brookes	Honda CBR1000RR	22	+39.128	14
Luca Morelli	Ducati 999RS	21	+1 Lap	20
Marek Svoboda	Yamaha YZF-R1	21	+1 Lap	21
Dean Ellison	Ducati 999RS	19	+3 Laps	19
Lorenzo Lanzi	Ducati 999 F07	18	Retirement	2
Karl Muggeridge	Honda CBR1000RR	16	Retirement	9
Noriyuki Haga	Yamaha YZF-R1	10	Retirement	15
Rubén Xaus	Ducati 999 F06	3	Retirement	5
