Pick #	NFL Team	Player	Position	College
5	Green Bay Packers	Terrell Buckley	Cornerback	Florida State
34	Green Bay Packers	Mark D'Onofrio	Linebacker	Penn State
62	Green Bay Packers	Robert Brooks	Wide Receiver	South Carolina
103	Green Bay Packers	Edgar Bennett	Running Back	Florida State
119	Green Bay Packers	Dexter McNabb	Running Back	Florida
130	Green Bay Packers	Orlando McKay	Wide Receiver	Washington
157	Green Bay Packers	Mark Chmura	Tight End	Boston College
190	Green Bay Packers	Chris Holder	Wide Receiver	Tuskegee
230	Green Bay Packers	Ty Detmer	Quarterback	BYU
240	Green Bay Packers	Shazzon Bradley	Defensive Tackle	Tennessee
257	Green Bay Packers	Andrew Oberg	Tackle	North Carolina
287	Green Bay Packers	Gabe Mokwuah	Linebacker	American
