Corps Name	Number of Finals Appearances	Year of First Appearance	Year of Most Recent Appearance	All Years of Finals Appearances
Santa Clara Vanguard	42	1972	2013	1972–2013
Blue Devils	40	1974	2013	1974–2013
The Cavaliers	40	1972	2013	1972,1974–77,1979–2013
Phantom Regiment	40	1974	2013	1974–2013
Madison Scouts	38	1973	2013	1973–2001,2003–06,2008,2010-2013
The Cadets	36	1975	2013	1975, 1977, 1980–2013
Bluecoats	26	1987	2013	1987-98,2000–2013
Crossmen	23	1977	2012	1977-78,1980–82,1984,1989–2004, 2012
Spirit of Atlanta	20	1978	2013	1978-88,1990,2002–03,2005–07,2011-13
Blue Knights	19	1991	2013	1991-94,1996–2000,2004–13
Carolina Crown	18	1995	2013	1995–2001,2003–13
Glassmen	16	1993	2010	1993-95,1997–2002,2004–10
Boston Crusaders	15	1999	2013	1999–2013
27th Lancers	12	1972	1984	1972-73,1975–84
Blue Stars	13	1972	2013	1972-79,2008–11,13
Bridgemen	10	1972	1983	1972-73,1976–83
Freelancers	10	1976	1992	1976-77,1981–85,1989,1991–92
Star of Indiana	9	1985	1993	1985-93
Colts	8	1993	2007	1993-96,1998–99,2001,2007
Troopers	9	1972	2009	1972-75,1979,1981,1985–86,2009
Velvet Knights	8	1984	1992	1984-90,1992
Suncoast Sound	7	1983	1989	1983-89
Kilties	6	1972	1978	1972-75,1977–78
The Magic	6	1994	2003	1994–1997,2002–03
Sky Ryders	6	1982	1991	1982-83,1986–88,1991
Guardsmen	4	1976	1980	1976, 1978–80
Anaheim Kingsmen	3	1972	1974	1972-74
Muchachos	3	1972	1974	1972-74
North Star	3	1978	1980	1978-80
Argonne Rebels	2	1972	1973	1972-73
Oakland Crusaders	2	1975	1976	1975-76
Seneca Optimists	2	1976	1977	1976-77
Bleu Raeders	1	1972	1972	1972
Black Knights	1	1973	1973	1973
De La Salle Oaklands	1	1974	1974	1974
Des Plaines Vangaurd	1	1972	1972	1972
Dutch Boy	1	1990	1990	1990
Purple Lancers	1	1974	1974	1974
Royal Crusaders	1	1975	1975	1975
Stockton Commodores	1	1973	1973	1973
Cascades	1	2002	2002	2002
