City	Highest temperature recorded or forecast	Date achieved or projected	Normal temperature	Deviation from normal
Edmonton, Alberta	90 °F (32 °C)	July 5	73 °F (23 °C)	+17 °F (+9 °C)
Lethbridge, Alberta	100 °F (37.8 °C)	July 23	77 °F (25 °C)	+23 °F (+ 13 °C)
Medicine Hat, Alberta	100 °F (37.9 °C)	July 6	81 °F (27 °C)	+ 19 °F (+ 11 °C)
Regina, Saskatchewan	99 °F (37.2 °C)	July 6	77 °F (25 °C)	+ 22 °F (+12 °C)
Val Marie, Saskatchewan	105 °F (41 °C)	July 23	82 °F (28 °C)	+23 °F (+12 °C)
Abbotsford, British Columbia	95 °F (35 °C)	July 10	76 °F (24 °C)	+ 19 °F (+11 °C)
Seattle , Washington	94 °F (34 °C)	July 11	76 °F (24 °C)	+18 °F (+10 °C)
Portland, Oregon	102 °F (39 °C)	July 10	79 °F (26 °C)	+23 °F (+13 °C)
Sacramento, California	107 °F (42 °C)	July 5	94 °F (34 °C)	+13 °F (+8 °C)
Boise, Idaho	106 °F (41 °C)	July 6	90 °F (32 °C)	+16 °F (+9 °C)
Missoula, Montana	107 °F (42 °C)	July 6	83 °F (28 °C)	+24 °F (+13 °C)
Jackson, Wyoming	91 °F (33 °C)	July 6	79 °F (26 °C)	+12 °F (+7 °C)
Salt Lake City, Utah	102 °F (39 °C)	July 6	89 °F (32 °C)	+13 °F (+7 °C)
Denver, Colorado	97 °F (36 °C)	June 25	87 °F (31 °C)	+10 °F (+8 °C)
Las Vegas, Nevada	116 °F (47 °C)	July 5	105 °F (41 °C)	+11 °F (+6 °C)
Phoenix, Arizona	115 °F (46 °C)	July 4	104 °F (40 °C)	+11 °F (+6 °C)
Santa Fe, New Mexico	96 °F (36 °C)	July 1	83 °F (28 °C)	+13 °F (+8 °C)
Death Valley, California	127 °F (53 °C)	July 6	115 °F (46 °C)	+12 °F (+7 °C)
