Rank	Title	Studio	Director(s)	Worldwide gross
1.	Mission: Impossible II	Paramount Pictures	John Woo	$546,388,105
2.	Gladiator	DreamWorks	Ridley Scott	$457,640,427
3.	Cast Away	20th Century Fox	Robert Zemeckis	$429,632,142
4.	What Women Want	Paramount Pictures	Nancy Meyers	$374,111,707
5.	Dinosaur	Walt Disney Pictures	Ralph Zondag and Eric Leighton	$349,822,765
6.	How the Grinch Stole Christmas	Universal Studios	Ron Howard	$345,141,403
7.	Meet the Parents	Universal Studios	Jay Roach	$330,444,045
8.	The Perfect Storm	Warner Bros.	Wolfgang Petersen	$328,718,434
9.	X-Men	20th Century Fox	Bryan Singer	$296,339,527
10.	What Lies Beneath	DreamWorks / 20th Century Fox	Robert Zemeckis	$291,420,351
11.	Scary Movie	Dimension Films	Keenen Ivory Wayans	$278,019,771
12.	Charlie's Angels	Columbia Pictures	McG	$264,105,545
13.	Erin Brockovich	Universal Studios / Columbia Pictures	Steven Soderbergh	$256,271,286
14.	Unbreakable	Touchstone Pictures / Blinding Edge	M. Night Shyamalan	$248,118,121
15.	Gone in 60 Seconds	Buena Vista Pictures	Dominic Sena	$237,202,298
16.	Chicken Run	DreamWorks / Aardman Animations	Peter Lord and Nick Park	$224,834,564
17.	Vertical Limit	Columbia Pictures	Martin Campbell	$215,663,859
18.	The Patriot	Columbia Pictures	Roland Emmerich	$215,294,342
19.	Crouching Tiger, Hidden Dragon	Sony Pictures	Ang Lee	$213,525,736
20.	Miss Congeniality	Warner Bros.	Donald Petrie	$212,742,720
