Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Southeastern	7	19–6	.760	7	6	3	1	1
Atlantic Coast	6	5–6	.455	3	2	–	–	–
Big 12	6	5–6	.455	4	1	–	–	–
Pacific-10	5	7–5	.583	4	1	1	1	–
Big Ten	5	5–5	.500	4	1	–	–	–
Conference USA	5	2–5	.286	2	–	–	–	–
Big East	2	7–2	.778	2	2	2	1	–
Atlantic 10	2	4–2	.667	2	1	1	–	–
Sun Belt	2	2–2	.500	1	1	–	–	–
Southland	2	1–2	.333	1	–	–	–	–
Western Athletic	2	1–2	.333	1	–	–	–	–
West Coast	2	0–2	–	–	–	–	–	–
Colonial	1	5–1	.833	1	1	1	1	1
