Question	First version (2005)	Second version (2005–2007)	Third version (2007–2010, 2011–2012)	Hot Seat version (2010–2011)	Fourth version (June 19, 2012–present)
1	₫100,000	₫100,000	₫100,000	₫1,000,000	₫200,000
2	₫200,000	₫200,000	₫200,000	₫2,000,000	₫400,000
3	₫300,000	₫300,000	₫300,000	₫3,000,000	₫600,000
4	₫500,000	₫500,000	₫500,000	₫4,000,000	₫1,000,000
5	₫800,000	₫1,000,000	₫1,000,000	₫5,000,000	₫2,000,000
6	₫1,200,000	₫1,800,000	₫2,000,000	₫6,000,000	₫3,000,000
7	₫2,000,000	₫3,200,000	₫3,600,000	₫8,000,000	₫6,000,000
8	₫3,200,000	₫5,000,000	₫6,000,000	₫10,000,000	₫10,000,000
9	₫4,800,000	₫7,000,000	₫9,000,000	₫15,000,000	₫14,000,000
10	₫6,800,000	₫10,000,000	₫15,000,000	₫20,000,000	₫22,000,000
11	₫10,000,000	₫15,000,000	₫25,000,000	₫25,000,000	₫30,000,000
12	₫14,000,000	₫25,000,000	₫35,000,000	₫35,000,000	₫40,000,000
13	₫20,000,000	₫40,000,000	₫50,000,000	₫50,000,000	₫60,000,000
14	₫30,000,000	₫65,000,000	₫80,000,000	₫80,000,000	₫85,000,000
