Outcome	Year	Championship	Surface	Partner	Opponents in the final	Score in the final
Runner-up	1994	French Open	Clay	Lindsay Davenport	Gigi Fernández Natasha Zvereva	6–2, 6–2
Runner-up	1997	Australian Open	Hard	Lindsay Davenport	Martina Hingis Natasha Zvereva	6–2, 6–2
Runner-up	1997	French Open	Clay	Mary Joe Fernández	Gigi Fernández Natasha Zvereva	6–2, 6–3
Winner	2000	Australian Open	Hard	Rennae Stubbs	Martina Hingis Mary Pierce	6–4, 5–7, 6–4
Winner	2001	Wimbledon	Grass	Rennae Stubbs	Kim Clijsters Ai Sugiyama	6–4, 6–3
Winner	2001	US Open	Hard	Rennae Stubbs	Kimberly Po Nathalie Tauziat	6–2, 5–7, 7–5
Runner-up	2002	French Open	Clay	Rennae Stubbs	Virginia Ruano Pascual Paola Suárez	6–4, 6–2
Winner	2005	US Open	Hard	Samantha Stosur	Elena Dementieva Flavia Pennetta	6–2, 5–7, 6–3
Runner-up	2006	Australian Open	Hard	Samantha Stosur	Zi Yan Jie Zheng	2–6, 7–6(7), 6–3
Winner	2006	French Open	Clay	Samantha Stosur	Daniela Hantuchová Ai Sugiyama	6–3, 6–2
Runner-up	2008	Wimbledon	Grass	Samantha Stosur	Serena Williams Venus Williams	6–2, 6–2
Runner-up	2008	US Open	Hard	Samantha Stosur	Cara Black Liezel Huber	6–3, 7–6(6)
