A. Dyck	H. Rempel	R. Epp	J. Thiessen	J. J. Neufeld	Ed Zacharias	word meaning
saje	saje	saje	saje	sajen	sajen	to say
Tjoatj	Kjoakj	Kjoakj	Tjoatj	Kjoakj	Kjoakj	church
ahm	am	ahm	ahm	am	am	him
Froag	Froag	Froag	Froag	Fruog	Froag	question
Lea, learen, jeleat	Lea, learen, jeleat	Lea, learen, jeleat	Lea, learen, jeleat	Lea, learen, jeleat	Lia, lieren, jelieet	teaching, learn, learned
du	dü	du	du	du	du	you
rollen, jerollt, Golt	rollen, jerollt, Golt	rollen, jerollt, Golt	rollen, jerollt, Golt	rollen, jerollt, Gollt	rollen, jerolt, Golt	to roll, rolled, gold
Wuat, Buak	Wuat, Büak	Wuat, Büak	Wuat, Büak	Wuut, Buuk	Wuat, Buak	word, book
Zocka	Ssocka	Zocka	Zocka	Tsocka	Zocka	sugar
von	fonn	von	von	fonn	von	from
