Tournament	2006	2007	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	A	1R	2R	2R	3R	2R
French Open	A	A	1R	2R	3R	4R	2R
Wimbledon	A	A	2R	3R	2R	2R	4R
US Open	A	A	3R	2R	1R	1R	1R
Win–Loss	0–0	0–0	3–4	5–4	4–4	6–4	5–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	Not Held	Not Held	A	Not Held	Not Held	Not Held	1R
Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles
Davis Cup	A	A	1R	1R	W	SF	QF
ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000
Indian Wells	A	1R	A	3R	4R	4R	2R
Miami	A	LQ	2R	4R	2R	4R	3R
Monte-Carlo	A	A	A	1R	2R	QF	2R
Madrid	A	A	A	1R	1R	1R	2R
Rome	A	A	A	2R	2R	2R	2R
Canada	A	A	A	1R	2R	3R	2R
Cincinnati	A	A	A	1R	2R	1R	3R
Shanghai	NM1	NM1	NM1	2R	A	1R	2R
Paris	A	A	1R	2R	A	3R	1R
Win–Loss	0–0	0–1	1–2	9–9	4–7	11–9	8–9
Tournaments played	1	7	19	28	27	25	28
Titles–Finals	0–0	0–0	0–1	0–1	1–1	0–2	0–0
Overall Win–Loss	1–1	5–7	21–20	32–29	37–30	40–26	26–29
Win %	50%	42%	51%	53%	55%	61%	47%
Year End Ranking	211	127	56	29	28	21	38
