Rank	Name	Tenure	Leagues	Attempts	Completions	Comp %	Touchdowns	Interceptions	Yardage	QB Rating
1	Anthony Calvillo Category:Articles with hCards	1994-present	CFL	9,437	5,892	62.4	455	224	79,816	95.5
2	Damon Allen Category:Articles with hCards	1985-2007	CFL	9,138	5,158	56.4	394	278	72,381	83.8
3	Brett Favre Category:Articles with hCards	1991-2010	NFL	10,169	6,300	62.0	508	336	71,838	86.0
4	Warren Moon Category:Articles with hCards	1978-2000	CFL/NFL	9,205	5,357	58.2	435	310	70,553	84.2
5	Peyton Manning Category:Articles with hCards	1998-present	NFL	8,033	5,260	65.5	458	211	61,666	96.7
6	Dan Marino Category:Articles with hCards	1983-1999	NFL	8,358	4,967	59.4	420	252	61,361	86.4
7	Doug Flutie Category:Articles with hCards	1985-2005	CFL/NFL/USFL	7,276	4,286	58.9	369	237	58,179	87.8
8	Danny McManus Category:Articles with hCards	1988,1990-2006	CFL/NFL	6,689	3,640	54.4	259	281	53,255	76.0
9	Henry Burris Category:Articles with hCards	1998-present	CFL/NFL	6,043	3,690	61.1	327	196	51,733	93.2
10	John Elway Category:Articles with hCards	1983-1998	NFL	7,250	4,123	56.9	300	226	51,475	79.9
11	Ron Lancaster Category:Articles with hCards	1960-1978	CFL	6,233	3,384	54.3	333	396	50,535	72.4
12	Drew Brees Category:Articles with hCards	2001-present	NFL	6,386	4,192	65.6	338	170	47,877	94.6
13	Ricky Ray Category:Articles with hCards	2002-present	CFL	5,597	3,780	67.5	251	143	47,466	98.0
14	Fran Tarkenton Category:Articles with hCards	1961-1978	NFL	6,487	3,686	56.8	342	266	47,003	80.1
15	Tom Brady Category:Articles with hCards	2000-present	NFL	6,197	3,934	63.5	342	127	46,286	96.0
16	Vinny Testaverde Category:Articles with hCards	1987-2007	NFL	6,701	3,787	56.5	275	267	46,233	75.0
17	Jim Kelly Category:Articles with hCards	1984-1996	NFL/USFL	5,933	3,604	60.7	320	195	45,309	88.8
18	Drew Bledsoe Category:Articles with hCards	1993-2006	NFL	6,717	3,839	57.2	251	206	44,611	77.1
19	Matt Dunigan Category:Articles with hCards	1983-1996	CFL	5,476	3,057	55.8	306	211	43,857	84.5
20	Jeff Garcia Category:Articles with hCards	1994-2011	CFL/NFL/UFL	5,955	3,645	61.2	281	146	43,300	88.9
21	Dan Fouts Category:Articles with hCards	1973-1987	NFL	5,604	3,297	58.8	254	242	43,040	80.2
22	Kerry Collins Category:Articles with hCards	1995-2011	NFL	6,261	3,487	55.7	208	196	40,922	73.8
23	Joe Montana Category:Articles with hCards	1979-1994	NFL	5,391	3,409	63.2	273	139	40,551	92.3
24	Tracy Ham Category:Articles with hCards	1987-1999	CFL	4,945	2,670	54.0	284	164	40,534	86.6
25	Johnny Unitas Category:Articles with hCards	1956-1973	NFL	5,186	2,830	54.6	290	253	40,239	78.2
