Frequency	Call sign	Branding	Format	Owner
AM 980	CFPL	AM980	news/talk	Corus Entertainment
AM 1290	CJBK	1290 CJBK	news/talk	Astral Media
AM 1410	CKSL	Funny 1410	comedy	Astral Media
FM 92.7	CJBX-FM	BX-93	country music	Astral Media
FM 93.5	CBCL-FM	CBC Radio One	news / talk	Canadian Broadcasting Corporation
FM 94.9	CHRW-FM	Your Cure for Corporate Radio	National Campus and Community Radio Association	Radio Western
FM 95.9	CFPL-FM	FM96	active rock	Corus Entertainment
FM 97.5	CIQM-FM	97.5 Virgin Radio	adult contemporary	Astral Media
FM 98.1	CKLO-FM	98.1 Free FM	adult album alternative	Blackburn Radio
FM 99.3	CJBC-4-FM	Première Chaîne	news / talk	Canadian Broadcasting Corporation
FM 99.9	CHJX-FM	Grace FM	Contemporary Christian music	Sound of Faith Broadcasting Group
FM 100.5	CBBL-FM	CBC Radio 2	public music	Canadian Broadcasting Corporation
FM 102.3	CHST-FM	Bob FM	adult hits	Rogers Radio
FM 106.9	CIXX-FM	106.9 The X	campus radio / rhythmic contemporary	Fanshawe College
