Name	Latitude	Longitude	Diameter (km)	Year named
Akkruva Colles	46.1N	115.5E	1,059.0	1985
Asherat Colles	12.0N	162.0E	500.0	2003
Chernava Colles	10.5S	335.5E	1,000.0	1997
Jurate Colles	56.8N	153.5E	418.0	1985
Marake Colles	55.7N	217.8E	150.0	1997
Mena Colles	52.5S	160.0E	850.0	1994
Migazesh Colles	49.0S	198.0E	230.0	2000
Molpe Colles	76.0N	192.0E	548.0	1991
Nahete Colles	38.0N	241.0E	400.0	1997
Nuliayoq Colles	48.0N	224.0E	350.0	1997
Olosa Colles	18.0N	353.3E	200.0	1997
Ran Colles	1.0N	163.0E	400.0	2003
Ruad Colles	68.0S	118.0E	400.0	1997
Salofa Colles	63.0S	167.0E	250.0	1997
T'ien Hu Colles	30.7N	15.1E	947.0	1991
Urutonga Colles	10.0N	154.0E	500.0	2003
