Place	Player	Country	Score	To par
1	Bobby Clampett	United States	67-66=133	–11
2	Nick Price	Zimbabwe	69-69=138	–6
T2	Bernhard Langer	West Germany	70-69=139	–5
T2	Des Smyth	Ireland	70-69=139	–5
T5	Sandy Lyle	Scotland	74-66=140	–4
T5	Tom Watson	United States	69-71=140	–4
T7	Ken Brown	Scotland	70=71=141	–3
T7	Peter Oosterhuis	England	74-67=141	–3
9	Tom Purtzer	United States	76-66=142	–2
T10	José Maria Cañizares	Spain	71-72=143	–1
T10	David Graham	Australia	73-70=143	–1
T10	Bill Rogers	United States	73-70=143	–1
