Player	Position	Date of Birth (Age)	Caps	Club/province
Chris Biller	Hooker	11 October 1985 (age28)	26	SFGG
Brian Doyle	Lock	28 February 1984 (age29)	13	NYAC
Louis Stanfill	Lock	30 May 1985 (age28)	41	Vicenza Rangers
John Quill	Flanker	10 March 1990 (age23)	6	London Irish
Nic Johnson	Number 8	15 April 1983 (age30)	18	Denver Barbarians
JJ Gagiano	Number 8	14 August 1985 (age28)	14	MTM Lions
Nese Malifa	Fly-half	24 September 1985 (age28)	24	Glendale Raptors
Adam Siddall	Fly-half	26 July 1988 (age25)	1	Old Blue
James Paterson	Wing	11 April 1987 (age26)	12	Glendale Raptors
Takudzwa Ngwenya	Wing	22 July 1985 (age28)	25	Biarritz
