Institution	City	State	Team Name	Affiliation	Enrollment	Home Conference
Augustana College (Illinois) **	Rock Island	Illinois	Vikings	Private/Lutheran	2500	CCIW
Aurora University	Aurora	Illinois	Spartans	Private/Non-sectarian	4400	Northern
Beloit College *	Beloit	Wisconsin	Buccaneers	Private/United Church of Christ	1000	Midwest
Benedictine University	Lisle	Illinois	Eagles	Private/Catholic	1300	Northern
Carroll University *	Waukesha	Wisconsin	Pioneers	Private/Presbyterian	2789	Midwest
Carthage College **	Kenosha	Wisconsin	Red Men	Private/Lutheran	2188	CCIW
Concordia University Wisconsin	Mequon	Wisconsin	Falcons	Private/Lutheran	1608	Northern
Cornell College *	Mount Vernon	Iowa	Rams	Private/United Methodist	1176	Midwest
Defiance College	Defiance	Ohio	Yellow Jackets	Private/United Church of Christ	1000	HCAC
Elmhurst College **	Elmhurst	Illinois	Bluejays	Private/United Church of Christ	3400	CCIW
Fontbonne University	St. Louis	Missouri	Griffins	Private/Catholic	2924	SLIAC
Hanover College	Hanover	Indiana	Panthers	Private/Presbyterian	975	HCAC
Milwaukee School of Engineering	Milwaukee	Wisconsin	Raiders	Private/Non-sectarian	1929	Northern
