Country or territory	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Indonesia	1,313,316	1,364,380	1,393,020	1,341,747	1,765,324	1,813,569	1,922,217	1,962,055	1,765,429	1,745,330	2,305,149	2,592,222
China	434,336	497,398	670,099	568,510	880,259	857,814	1,037,201	1,113,956	1,078,742	936,747	1,171,337	1,577,522
Malaysia	564,750	578,719	548,659	439,437	537,336	577,987	634,303	645,774	647,480	764,309	1,036,918	1,140,935
Australia	510,347	550,681	538,408	392,906	561,163	620,255	691,632	768,490	833,156	830,299	880,486	956,039
India	346,360	339,828	375,697	309,487	471,244	583,590	658,902	748,728	778,303	725,624	828,903	868,991
Philippines	181,032	190,630	195,564	176,585	245,918	319,971	386,119	418,775	418,938	432,072	544,344	677,723
Japan	929,895	755,766	723,431	434,087	598,840	588,535	594,406	594,514	571,040	489,987	528,817	656,417
Thailand	246,750	260,958	263,866	235,826	341,989	379,040	356,367	353,416	333,905	317,905	430,022	472,708
Hong Kong	285,975	276,157	265,970	226,260	271,691	313,831	291,474	302,110	278,115	294,420	387,552	464,375
United Kingdom	444,976	460,018	458,528	387,982	457,262	467,154	488,167	495,693	492,933	469,756	461,714	442,611
United States	385,585	343,805	327,648	250,678	333,156	371,440	399,786	408,885	396,631	370,704	416,990	440,576
South Korea	354,353	359,083	371,050	261,403	361,083	364,206	454,722	464,292	423,018	271,987	360,673	414,879
Vietnam	31,837	34,633	40,652	44,420	105,803	150,626	165,105	203,210	239,299	265,414	322,853	332,231
Taiwan	290,904	222,087	209,321	144,942	182,443	213,959	219,463	208,156	175,924	156,761	191,173	238,488
Germany	169,408	166,981	157,510	121,376	142,371	154,779	161,125	164,900	175,280	183,681	209,231	219,952
