Train No.	Train Name	From	Arrival	Runs On
51195	Wardha-Ballarshah Pass	Wardha	08:54	S-M-T-W-T-F-S
12139	Sewagram Exp	Mumbai CST	09:08	S-M-T-W-T-F-S
51196/12140	Ballarshah-Mumbai Pass	Ballarshah	19:11	S-M-T-W-T-F-S
57135	Nagpur-Kazipet Pass	Nagpur	23:44	S-M-T-W-T-F-S
57136	Kazipet-Nagpur Pass	Kazipet	05:09	S-M-T-W-T-F-S
16094	Lucknow-Chennai Exp	Lucknow	13:04	- M - - T - -
16032	Andaman Exp	Jammu Tawi	13:04	- - T - - F S
16031	Andaman Exp	Chennai	23:39	S - - W T - -
11401	Nandigram Exp	Mumbai CST	13:28	S-M-T-W-T-F-S
11402	Nandigram Exp	Nagpur	08:38	S-M-T-W-T-F-S
11045	Dikshabhoomi Exp	C Shahumraj T	05:13	- - - - T - -
11046	Dikshabhoomi Exp	Dhanbad Jn	18:39	- M - - - - -
17609	Patna-Purna Exp	Patna Jn	22:34	S - - - - - -
17610	Purna-Patna Exp	Purna Jn	01:48	- - - - - F -
12767	HuzurSahib Nanded - Kolkata Santragachi	Nanded	22:54	- M - - - - -
12768	Kolkata Santragachi-HuzurSahib Nanded	Kolkata	10:54	- - - - T - -
