Week	Date	Opponent	Result	Attendance
1	September 10, 1989	at Pittsburgh Steelers	W 51–0	57,928
2	September 17, 1989	New York Jets	W 38–24	73,516
3	September 25, 1989	at Cincinnati Bengals	L 21–14	55,996
4	October 1, 1989	Denver Broncos	W 16–13	78,637
5	October 8, 1989	at Miami Dolphins	L 13–10	58,444
6	October 15, 1989	Pittsburgh Steelers	L 17–7	78,840
7	October 23, 1989	Chicago Bears	W 27–7	78,722
8	October 29, 1989	Houston Oilers	W 28–17	78,765
9	November 5, 1989	at Tampa Bay Buccaneers	W 42–31	69,162
10	November 12, 1989	at Seattle Seahawks	W 17–7	58,978
11	November 19, 1989	Kansas City Chiefs	T 10–10	77,922
12	November 23, 1989	at Detroit Lions	L 13–10	65,624
13	December 3, 1989	Cincinnati Bengals	L 21–0	76,236
14	December 10, 1989	at Indianapolis Colts	L 23–17	58,550
15	December 17, 1989	Minnesota Vikings	W 23–17	70,777
16	December 23, 1989	at Houston Oilers	W 24–20	58,852
