Year	Title	Director	Distributor(s)	Box office
1984	Revenge of the Nerds	Jeff Kanew Category:Articles with hCards	20th Century Fox	$40,874,452
1985	Turk 182	Bob Clark Category:Articles with hCards	20th Century Fox	$3,594,997
1985	American Geisha 2	Lee Phillips	CBS	—
1987	Outrageous Fortune	Arthur Hiller Category:Articles with hCards	Touchstone Pictures	$52,864,741
1987	Stillwatch 2	Rod Holcomb Category:Articles with hCards	CBS	—
1987	Revenge of the Nerds II: Nerds in Paradise	Joe Roth Category:Articles with hCards	20th Century Fox	$30,063,289
1987	Three Men and a Baby	Leonard Nimoy Category:Articles with hCards	Touchstone Pictures	$167,780,960
1988	The Seventh Sign	Carl Schultz Category:Articles with hCards	TriStar Pictures	$18,875,011
1988	Cocktail	Roger Donaldson Category:Articles with hCards	Touchstone Pictures	$171,504,781
1989	Bill & Ted's Excellent Adventure	Stephen Herek Category:Articles with hCards	Orion Pictures	$40,485,039
1989	Collision Course 1	Lewis Teague Category:Articles with hCards	DEG	—
1989	Renegades	Jack Sholder Category:Articles with hCards	Universal Pictures	$9,015,164
1989	Blind Fury	Phillip Noyce Category:Articles with hCards	TriStar Pictures	$2,692,037
1989	My Boyfriend's Back 2	Paul Schneider	NBC	—
1989	An Innocent Man	Peter Yates Category:Articles with hCards	Touchstone Pictures	$20,047,604
1989	A Mother's Courage: The Mary Thomas Story 2	John Patterson	Walt Disney Television	—
1990	The First Power	Robert Resnikoff	Orion Pictures	$22,424,195
1990	Bird on a Wire	John Badham Category:Articles with hCards	Universal Pictures	$138,697,012
1990	A Gnome Named Gnorm 1	Stan Winston Category:Articles with hCards	Vestron Pictures	—
1990	Three Men and a Little Lady	Emile Ardolino Category:Articles with hCards	Touchstone Pictures	$71,609,321
1990	Eve of Destruction	Duncan Gibbins Category:Articles with hCards	Orion Pictures	$5,451,119
1991	The Last to Go 2	John Erman Category:Articles with hCards	ABC	—
1991	Aftermath 2	Glenn Jordan Category:Articles with hCards	CBS	—
1991	Class Action	Michael Apted Category:Articles with hCards	20th Century Fox	$28,277,918
1991	Bill & Ted's Bogus Journey	Peter Hewitt Category:Articles with hCards	Orion Pictures	$38,037,513
1991	Paradise	Mary Agnes Donahue	Touchstone Pictures	$18,634,643
1992	The Hand That Rocks the Cradle	Curtis Hanson Category:Articles with hCards	Hollywood Pictures	$88,036,683
1992	The Cutting Edge	Paul Michael Glaser Category:Articles with hCards	Metro-Goldwyn-Mayer	$25,105,517
1992	The Gun in Betty Lou's Handbag	Allan Moyle Category:Articles with hCards	Touchstone Pictures	$ 3,721,911
1992	Out on a Limb	Francis Veber Category:Articles with hCards	Universal Pictures	$1,659,542
1993	Foreign Affairs 2	Jim O'Brien	TNT	—
1994	The Air Up There	Paul Michael Glaser Category:Articles with hCards	Hollywood Pictures	$21,011,318
1994	Holy Matrimony	Leonard Nimoy Category:Articles with hCards	Hollywood Pictures	$12,096,881
1994	Terminal Velocity	Deran Sarafian Category:Articles with hCards	Hollywood Pictures	$16,487,349
1994	A Part of the Family 2	David Madden	PolyGram Filmed Entertainment	—
1995	Roommates	Peter Yates Category:Articles with hCards	Hollywood Pictures	$12,096,881
1995	Separate Lives	David Madden	Trimark Pictures	$961,147
1995	Body Language 2	Eric Harlacher	HBO	—
1995	Operation Dumbo Drop	Simon Wincer Category:Articles with hCards	Walt Disney Pictures	$24,670,346
1995	The Tie That Binds	Wesley Strick Category:Articles with hCards	Hollywood Pictures	$5,830,454
1995	Two Much	Fernando Trueba Category:Articles with hCards	Touchstone Pictures	$1,141,556
1995	Jumanji	Joe Johnston Category:Articles with hCards	TriStar Pictures	$162,322,000
1995	Mr. Holland's Opus	Stephen Herek Category:Articles with hCards	Hollywood Pictures	$106,269,971
1996	Boys	Stacy Cochran	Touchstone Pictures	$516,349
1996	Kazaam	Paul Michael Glaser Category:Articles with hCards	Touchstone Pictures	$18,937,262
1996	The Associate	Paul Michael Glaser Category:Articles with hCards	Hollywood Pictures	$12,844,057
1997	Dead Silence 2	Daniel Petrie, Jr. Category:Articles with hCards	HBO Pictures	—
1997	Gridlock'd	Vondie Curtis-Hall Category:Articles with hCards	Gramercy Pictures	$5,571,205
1997	Snow White: A Tale of Terror 2	Michael Cohn	Gramercy Pictures	—
1998	The Proposition	Leslie Linka Glatter Category:Articles with hCards	PolyGram Filmed Entertainment	$147,773
1998	Very Bad Things	Peter Berg Category:Articles with hCards	PolyGram Filmed Entertainment	$9,898,412
1998	What Dreams May Come	Vincent Ward Category:Articles with hCards	PolyGram Filmed Entertainment	$55,382,927
1999	Runaway Bride	Garry Marshall Category:Articles with hCards	Paramount Pictures / Touchstone Pictures	$309,457,509
1999	Teaching Mrs. Tingle	Kevin Williamson	Dimension Films	$8,951,935
2000	Pitch Black	David Twohy Category:Articles with hCards	Gramercy Pictures / USA Films	$53,187,659
2000	The Three Stooges 2	Glenn Jordan Category:Articles with hCards	Columbia TriStar	—
Box office total:	Box office total:	Box office total:	Box office total:	$1,837,236,440
