Coaster Name	Park	Location	Track	Builder	Year Opened
American Eagle	Six Flags Great America	Gurnee, Illinois	Wooden	Intamin	1981
Batman & Robin: The Chiller	Six Flags Great Adventure	Jackson, New Jersey	Steel	Premier Rides	1997
Battlestar Galactica	Universal Studios Singapore	Sentosa , Singapore	Steel	Vekoma	2010
Colossus	Six Flags Magic Mountain	Valencia, California	Wooden	International Amusement Devices	1978
Dauling Dragon	Happy Valley, Wuhan	Hubei , China	Wooden	Martin & Vleminckx	2012
Dragon Challenge	Islands of Adventure	Orlando, Florida	Steel	Bolliger & Mabillard	1999
Gemini	Cedar Point	Sandusky, Ohio	Steel	Arrow Dynamics	1978
Grand National	Blackpool Pleasure Beach	Blackpool, Lancashire	Wooden	Charles Paige	1935
Gwazi	Busch Gardens Tampa Bay	Tampa, Florida	Wooden	Great Coasters International	1999
Joris en de Draak	Efteling	Kaatsheuvel	Wooden	Great Coasters International	2010
Lightning Racer	Hersheypark	Hershey, Pennsylvania	Wooden	Great Coasters International	2000
Matterhorn Bobsleds	Disneyland	Anaheim, California	Steel	Arrow Dynamics	1959
Milky Way	Mitsui Greenland	Arao, Kumamoto	Steel	Senyo Kogyo Co., Ltd.	1991
Le Monstre	La Ronde	Montréal, Québec	Wooden	William Cobb & Associates	1985/86
Montaña Rusa	La Feria Chapultepec Magico	Mexico City	Wooden	National Amusement Device Company	1964
The Racer	Kings Island	Mason, Ohio	Wooden	Philadelphia Toboggan Coasters	1972
Racer	Kennywood	West Mifflin, Pennsylvania	Wooden	Charile Mach	1927
Ramses	Parque de Atracciones de Zaragoza	Zaragoza, Zaragoza	Steel	Safeco	2002
Rebel Yell	Kings Dominion	Doswell, Virginia	Wooden	Philadelphia Toboggan Coasters	1975
Rolling Thunder	Six Flags Great Adventure	Jackson, New Jersey	Wooden	William Cobb & Associates	1979
Stampida	PortAventura	Salou, Tarragona	Wooden	Custom Coasters International	1997
Space Mountain	Magic Kingdom	Lake Buena Vista, Florida	Steel	Arrow Dynamics	1975
Thunder Road	Carowinds	Charlotte, North Carolina	Wooden	Philadelphia Toboggan Coasters	1976
Twisted Twins	Kentucky Kingdom	Louisville, Kentucky	Wooden	Custom Coasters International	1998
Vertigorama	Parque de la Ciudad	Buenos Aires City	Steel	Intamin	1983
Vleermuis	Plopsaland	De Panne , West Flanders	Steel	Caripro	2000
Windjammer Surf Racers	Knott's Berry Farm	Buena Park, California	Steel	TOGO	1997
