Rank	Artist	Album	Peak position	Sales	Certification
1	Bon Jovi	Lost Highway	1	300,000	3x Platinum
2	Josh Groban	Noël	1	300,000	3x Platinum
3	Alicia Keys	As I Am	2	200,000	2x Platinum
4	Kanye West	Graduation	1	200,000	2x Platinum
5	Kid Rock	Rock N Roll Jesus	4	200,000	2x Platinum
6	Norah Jones	Not Too Late	1	200,000	2x Platinum
7	Britney Spears	Blackout	1	100,000	Platinum
8	Kelly Clarkson	My December	2	100,000	Platinum
9	Sean Kingston	Sean Kingston	n/a	100,000	Platinum
10	Timbaland	Shock Value	2	100,000	Platinum
