Year	Date	Venue	Winner	Country	Score	To par	Margin of victory	Runner(s)-up	Winner's share ( € )
Tenerife Ladies Match Play	Tenerife Ladies Match Play	Tenerife Ladies Match Play	Tenerife Ladies Match Play	Tenerife Ladies Match Play	Tenerife Ladies Match Play	Tenerife Ladies Match Play	Tenerife Ladies Match Play	Tenerife Ladies Match Play	Tenerife Ladies Match Play
2011	12 Jun	Golf Las Américas	Becky Brewerton	Wales	68	−4	1 stroke	Carlota Ciganda	40,000
2011	12 Jun	Golf Las Américas	Becky Brewerton	Wales	68	−4	1 stroke	Nikki Garrett	40,000
Tenerife Ladies Open	Tenerife Ladies Open	Tenerife Ladies Open	Tenerife Ladies Open	Tenerife Ladies Open	Tenerife Ladies Open	Tenerife Ladies Open	Tenerife Ladies Open	Tenerife Ladies Open	Tenerife Ladies Open
2010	4 Jul	Buenavista Golf Club	Trish Johnson	England	274	−14	1 stroke	Virginie Lagoutte-Clément	41,250
2009	27 Sep	Golf Costa Adeje	Felicity Johnson	England	274	−14	2 strokes	Becky Brewerton	45,000
2008	22 Jun	Golf Costa Adeje	Rebecca Hudson	England	278	−10	Playoff	Anne-Lise Caudal	45,000
2007	6 May	Golf del Sur Tenerife	Nikki Garrett	Australia	287	−1	2 strokes	Trish Johnson	41,250
2007	6 May	Golf del Sur Tenerife	Nikki Garrett	Australia	287	−1	2 strokes	Tania Elosegui	41,250
2006	30 Apr	Abama	Riikka Hakkarainen	Finland	288	E	2 strokes	Tania Elosegui	37,500
2005	10 Apr	Golf Costa Adeje	Ludivine Kreutz	France	277	−11	2 strokes	Miriam Nagl	36,300
2004	2 May	Buenavista Golf Club	Diana Luna	Italy	279	−9	2 strokes	Becky Brewerton	33,000
2003	4 May	Golf Las Américas	Elisabeth Esterl	Germany	276	−12	1 stroke	Becky Brewerton	30,000
2002	5 May	Golf del Sur Tenerife	Raquel Carriedo	Spain	292	+4	1 stroke	Johanna Head	30,000
