Year	Coach	Captain	Runner-up	Score
2005	M W Pitman	S Ryan	Freeling	Kapunda 17-14-116 Freeling 9-6-60
2004	M W Pitman	S Ryan	Angaston	Kapunda 21-16-142 Angaston 11-9-75
1974	K E Tucker	K E Tucker	Nuriootpa	Kapunda 17-13-115 Nuriootpa 10-12-72
1965	A Baraglia	A Baraglia	Nuriootpa	Kapunda 15-11-101 Nuriootpa 12-13-85
1964	A Baraglia	A Baraglia	Nuriootpa	Kapunda 13-12-90 Nuriootpa 8-11-59
1953	H C Heffernan	V Serotzki	Nuriootpa	Kapunda 11-9-75 Nuriootpa 10-12-72
1952	H C Heffernan	V Serotzki	Tanunda	Kapunda 12-12-84 Tanunda 9-9-63
1939	S Jaffer	S Jaffer	Tanunda	Kapunda 14-13-97 Tanunda 5-14-44
1935	C Palmer	T Burgess	Angaston	Kapunda 7-7-49 Angaston 6-8-44
1929	Not Listed	R Burgess	Angaston	Kapunda 9-10-64 Angaston 8-14-62
1928	Dr A Gunning	R Burgess	Angaston	Kapunda 13-12-90 Angaston 10-8-68
1927	Not Listed	H N Burgess	Angaston	Kapunda 7-17-59 Angaston 8-7-55
1923	Not Listed	P E Williams	Nuriootpa	Kapunda 8-10-58 Nuriootpa 6-13-49
1922	Not Listed	H N Burgess	Nuriootpa	Kapunda 5-4-34 Nuriootpa 3-6-24
1921	Not Listed	P E Williams	Angaston	Kapunda 5-14-44 Angaston 4-12-36
