Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
Argentine Grand Prix	Buenos Aires	13 January	Ronnie Peterson	Clay Regazzoni	Denny Hulme	McLaren - Ford	G	Report
Brazilian Grand Prix	Interlagos	27 January	Emerson Fittipaldi	Clay Regazzoni	Emerson Fittipaldi	McLaren - Ford	G	Report
South African Grand Prix	Kyalami	30 March	Niki Lauda	Carlos Reutemann	Carlos Reutemann	Brabham - Ford	G	Report
Spanish Grand Prix	Jarama	28 April	Niki Lauda	Niki Lauda	Niki Lauda	Ferrari	G	Report
Belgian Grand Prix	Nivelles-Baulers	12 May	Clay Regazzoni	Denny Hulme	Emerson Fittipaldi	McLaren - Ford	G	Report
Monaco Grand Prix	Monaco	26 May	Niki Lauda	Ronnie Peterson	Ronnie Peterson	Lotus - Ford	G	Report
Swedish Grand Prix	Anderstorp	9 June	Patrick Depailler	Patrick Depailler	Jody Scheckter	Tyrrell - Ford	G	Report
Dutch Grand Prix	Zandvoort	23 June	Niki Lauda	Ronnie Peterson	Niki Lauda	Ferrari	G	Report
French Grand Prix	Dijon-Prenois	7 July	Niki Lauda	Jody Scheckter	Ronnie Peterson	Lotus - Ford	G	Report
British Grand Prix	Brands Hatch	20 July	Niki Lauda	Niki Lauda	Jody Scheckter	Tyrrell - Ford	G	Report
German Grand Prix	Nürburgring	4 August	Niki Lauda	Jody Scheckter	Clay Regazzoni	Ferrari	G	Report
Austrian Grand Prix	Österreichring	18 August	Niki Lauda	Clay Regazzoni	Carlos Reutemann	Brabham - Ford	G	Report
Italian Grand Prix	Monza	8 September	Niki Lauda	Carlos Pace	Ronnie Peterson	Lotus - Ford	G	Report
Canadian Grand Prix	Mosport Park	22 September	Emerson Fittipaldi	Niki Lauda	Emerson Fittipaldi	McLaren - Ford	G	Report
United States Grand Prix	Watkins Glen	6 October	Carlos Reutemann	Carlos Pace	Carlos Reutemann	Brabham - Ford	G	Report
