Place	Player	Country	Score	To par	Money ( $ )
1	Jack Nicklaus	United States	70-69-66-69=274	–6	60,000
2	Andy Bean	United States	72-71-68-70=281	+1	40,000
T3	Lon Hinkle	United States	70-69-69-75=283	+3	22,500
T3	Gil Morgan	United States	68-70-73-72=283	+3	22,500
T5	Curtis Strange	United States	68-72-72-72=284	+4	14,500
T5	Howard Twitty	United States	68-74-71-71=284	+4	14,500
7	Lee Trevino	United States	74-71-71-69=285	+5	11,000
T8	Bill Rogers	United States	71-71-72-72=286	+6	8,500
T8	Bobby Walzel	United States	68-76-71-71=286	+6	8,500
T10	Terry Diehl	United States	72-72-68-76=288	+8	6,000
T10	Peter Jacobsen	United States	71-73-74-70=288	+8	6,000
T10	Jerry Pate	United States	72-73-70-73=288	+8	6,000
T10	Tom Watson	United States	75-74-72-67=288	+8	6,000
T10	Tom Weiskopf	United States	71-73-72-72=288	+8	6,000
