Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2003	Formula RUS	Lukoil-Serebryaniy dojd'-Junior	14	0	1	1	5	39	4th
2004	Formula RUS	Lukoil Racing Team Junior	14	10	11	12	14	63	1st
2004	Formula Renault Monza	BVM Minardi Junior Team	8	0	0	0	0	32	13th
2005	Formula Renault 2.0 Germany	Lukoil Racing Team	16	0	0	0	0	155	10th
2005	Eurocup Formula Renault 2.0	Lukoil Racing Team	13	0	0	0	0	0	24th
2005	Formula RUS	Lukoil Racing Team-Formula Rus	1	1	1	1	1	22	16th
2006	Formula Renault 2.0 Northern European Cup	Lukoil Racing	14	1	2	1	2	167	8th
2006	Formule Renault 2.0 Suisse	Lukoil Racing	10	6	8	8	9	230	2nd
2006	Formula RUS	Formula Rus	2	2	2	1	2	43	10th
2007	Formula 3 Euro Series	HBR Motorsport	18	0	0	0	0	0	21st
2007	Masters of Formula 3	HBR Motorsport	1	0	0	0	0	N/A	NC
2008	International Formula Master	JD Motorsport	16	1	1	0	2	28	8th
2008	Formula Renault 3.5 Series	KTR	6	0	0	0	0	0	34th
2009	International Formula Master	JD Motorsport	16	1	0	1	9	68	2nd
2010	FIA Formula Two Championship	Lukoil	18	0	1	1	4	157	3rd
2011	Auto GP	DAMS	12	1	3	1	4	117	3rd
