Tournament	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	A	A	A	A	A	A	1R	1R	A	A	A	2R	QF	2R	2R	QF	A	A
French Open	A	A	A	3R	A	1R	2R	2R	2R	1R	1R	2R	3R	QF	3R	3R	SF	2R	1R
Wimbledon	A	A	A	1R	A	1R	A	3R	A	2R	2R	1R	2R	3R	F	QF	SF	2R	1R
US Open	A	A	A	A	A	A	1R	1R	2R	1R	QF	2R	3R	1R	3R	2R	1R	F	A
Win–Loss	0–0	0–0	0–0	2–2	0–0	0–2	1–2	3–4	2–3	1–3	4–3	2–3	6–4	8–4	10–4	7–4	11–4	7–3	0–2
Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series	Masters Series
Indian Wells	NME	NME	NME	A	A	A	A	A	A	A	A	A	QF	1R	1R	2R	SF	1R	A
Miami	NME	NME	NME	A	A	A	A	1R	3R	A	3R	A	2R	QF	W	2R	F	QF	1R
Monte Carlo	NME	NME	NME	1R	A	A	A	1R	QF	2R	A	A	F	QF	QF	2R	2R	A	A
Rome	NME	NME	NME	1R	A	A	A	W	A	A	A	A	1R	1R	2R	1R	2R	2R	A
Hamburg	NME	NME	NME	1R	A	A	A	A	A	QF	A	A	QF	QF	1R	1R	SF	SF	A
Canada	NME	NME	NME	A	A	A	A	1R	A	A	A	A	1R	1R	W	SF	QF	2R	A
Cincinnati	NME	NME	NME	A	A	A	A	1R	A	A	A	A	1R	SF	QF	2R	2R	A	A
Madrid (Stuttgart)	NME	NME	NME	A	A	A	A	A	A	A	A	A	2R	W	SF	2R	SF	1R	A
Paris	NME	NME	NME	A	A	A	A	A	A	A	A	A	1R	2R	2R	1R	1R	1R	A
Win–Loss	N/A	N/A	N/A	0–3	0–0	0–0	0–0	5–4	4–2	3–2	1–1	0–0	9–9	13–8	16–7	7–9	11–9	7–7	0–1
Year End Ranking	894	676	220	122	109	71	99	27	49	53	54	43	29	11	7	20	14	23	499
