Country/Territory	Established	Degree	Regional/Offshore	IMED/Avicenna Listed
Anguilla ( UK )	2001	MD	Offshore	Both
Antigua and Barbuda	2004	MD	Offshore	Both
Antigua and Barbuda	1983	MD	Offshore	Both
Aruba ( NL )	2004	MD	Offshore	Both
Barbados	1967	MBBS	Regional	Both
Barbados	2011	MD	Offshore	Both
Bonaire ( NL )	1999	MD	Offshore	Both
Bonaire ( NL )	2005	MD	Offshore	Avicenna only
Cayman Islands ( UK )	2002	MD	Offshore	Both
Cuba	1999	MD	Offshore	Both
Cuba	2000	MD	Regional	Both
Cuba	1990	MD	Regional	Both
Cuba	1982	MD	Regional	Both
Cuba	1976	MD	Regional	Both
Cuba	1986	MD	Regional	Both
Cuba	1969	MD	Regional	Both
Cuba	1994	MD	Regional	Both
Cuba	1962	MD	Regional	Both
Cuba	1966	MD	Regional	Both
Cuba	1968	MD	Regional	Both
Curacao ( NL )	2003	MD	Offshore	Both
Curacao ( NL )	2007	MD	Offshore	Both
Curacao ( NL )	2000	MD	Offshore	Both
Dominica	2006	MD	Offshore	Both
Dominica	1978	MD	Offshore	Both
Dominican Republic	1972	MD	Regional	Both
Dominican Republic	1976	MD	Regional	Both
Dominican Republic	1538	MD	Regional	Both
Dominican Republic	1978	MD	Regional	Both
Dominican Republic	1983	MD	Regional	Both
Dominican Republic	1970	MD	Regional	Both
Dominican Republic	1982	MD	Offshore	Both
Dominican Republic	1966	MD	Regional	Both
Dominican Republic	1979	MD	Regional	Both
Dominican Republic	1981	MD	Regional	Both
Grenada	1977	MD	Offshore	Both
Haiti	1867	MD	Regional	Both
Haiti	2006	MD	Regional	IMED only
Haiti	1997	MD	Regional	Both
Haiti	2002	MD	Regional	IMED only
Jamaica	2011	MD	Offshore	Both
Jamaica	1948	MBBS	Regional	Both
Montserrat ( UK )	2003	MD	Offshore	IMED only
Saba ( NL )	1994	MD	Offshore	Both
Saint Kitts and Nevis	1998	MBBS/MD	Offshore	Both
Saint Kitts and Nevis	1998	MD	Offshore	Both
Saint Kitts and Nevis	2008	MD	Offshore	Both
Saint Kitts and Nevis	2000	MD	Offshore	Both
Saint Lucia	2007	MD	Offshore	Both
Saint Lucia	2001	MD	Offshore	Both
Saint Lucia	2010	MD	Offshore	Both
Saint Lucia	2004	MD	Offshore	Both
Saint Lucia	1980	MD	Offshore	Both
Saint Lucia	2011	MD	Offshore	IMED only
Saint Vincent and the Grenadines	2011	MD	Offshore	Both
Saint Vincent and the Grenadines	2012	MD	Offshore	IMED only
Saint Vincent and the Grenadines	2008	MD	Offshore	Both
Sint Eustatius ( NL )	1999	MD	Offshore	Both
Sint Maarten ( NL )	1978	MD	Offshore	Both
Trinidad and Tobago	1967	MBBS	Regional	Both
