Rank	Name	Height m / ft	Floors	Year
1	Living Shangri-La	201 / 659	62	2008
2	The Private Residences at Hotel Georgia	158 / 518	48	2012
3	One Wall Centre	150 / 491	48	2001
4	Shaw Tower	149 / 489	41	2004
5	Harbour Centre	146 / 481	45	1977
6	Royal Centre	141 / 464	37	1973
6	The Melville	141 / 461	43	2007
8	Bentall 5	140 / 460	34	2007
8	Park Place	140 / 459	35	1984
8	Fairmont Pacific Rim	140 / 458	44	2010
11=	Granville Square	138 / 454	30	1973
11=	Four Bentall Centre	138 / 454	35	1981
11	Scotia Tower	138 / 452	34	1977
14	TD Tower	127 / 417	30	1972
15=	Patina	126 / 418	42	2011
15=	Capitol Residences	126 / 414	42	2010
17	W-43	125 / 411	40	2009
18	Three Bentall Centre	122 / 400	32	1974
19	Empire Landmark Hotel	121 / 396	42	1973
20	Jameson House	119 / 381	38	2011
21	The Ritz	118 / 388	37	2008
22	West One	117 / 384	38	2002
23	Cathedral Place	116 / 382	23	1991
24	West Pender Place 1	113 / 370	36	2011
25	Hotel Vancouver	111 / 363	17	1939
26=	Venus	109 / 359	34	2000
26=	Hyatt Regency Vancouver	109 / 359	35	1973
26	Marriott Pinnacle Hotel	109 / 357	35	2000
29	Residences on Georgia	108 / 354	36	1998
30=	The Pinnacle	106 / 348	36	1996
30=	Callisto	106 / 348	35	2004
30=	Residences on Georgia	106 / 348	36	1998
30=	Dolce	106 / 348	31	2010
34	Two Harbour Green	105 / 345	31	2008
35=	1177 West Hastings	104 / 342	27	1968
35=	Oceanic Plaza	104 / 342	26	1977
35	1075 West Georgia	104 / 340	27	1968
38=	Landmark 33	103 / 338	35	1998
38=	QuayWest Tower I	103 / 338	35	2002
38	Elan	103 / 337	34	2008
41	Sheraton Wall Centre Hotel	102 / 335	35	1994
42	FortisBC Centre	101 / 332	24	1992
42=	Paris Place	101 / 330	33	1995
42=	HSBC Building	101 / 330	23	1987
45=	Canaccord Tower	100 / 329	24	1981
45=	Coast Plaza Hotel & Suites	100 / 329	32	1969
45=	Carmana Plaza	100 / 328	34	1999
45=	Guinness Tower	100 / 328	25	1969
