Club	City	Stadium	Capacity	2011–12 season
Aprilia	Aprilia	Quinto Ricci	2,000	5th in Lega Pro Seconda Divisione B
Arzanese	Arzano (playing in Frattamaggiore )	Pasquale Ianniello	4,000	9th in Lega Pro Seconda Divisione B
AversaNormanna	Aversa	Augusto Bisceglia	2,555	11th in Lega Pro Seconda Divisione B
Borgo a Buggiano	Buggiano	Alberto Benedetti	2,000	10th in Lega Pro Seconda Divisione A
Campobasso	Campobasso	Romagnoli	4,000	13th in Lega Pro Seconda Divisione B
Chieti	Chieti	Guido Angelini	12,750	4th in Lega Pro Seconda Divisione B
Foligno	Foligno	Enzo Blasone	5,650	18th in Lega Pro Prima Divisione A
Fondi	Fondi	Domenico Purificato	2,500	12th in Lega Pro Seconda Divisione B
Gavorrano	Gavorrano	Romeo Malservisi	2,000	7th in Lega Pro Seconda Divisione B
HinterReggio	Reggio Calabria	Oreste Granillo	27,543	1st in Serie D Girone I
L'Aquila	L'Aquila	Tommaso Fattori	10,000	8th in Lega Pro Seconda Divisione B
Martina Franca	Martina Franca	Gian Domenico Tursi	5,000	1st in Serie D Girone H
Melfi	Melfi	Arturo Valerio	4,100	16th in Lega Pro Seconda Divisione B
Poggibonsi	Poggibonsi	Stefano Lotti	2,513	9th in Lega Pro Seconda Divisione A
Pontedera	Pontedera	Ettore Mannucci	5,000	1st in Serie D Girone E
Salernitana	Salerno	Arechi	37,245	1st in Serie D Girone G (as Salerno)
Teramo	Teramo	Comunale	7,498	1st in Serie D Girone F
VigorLamezia	Lamezia Terme	Guido D'Ippolito	4,000	3rd in Lega Pro Seconda Divisione B
