Year	Award	Category	Nominated work	Result
1997	KBS Drama Awards	Excellence Award, Actress	When She Beckons	Won
1998	MBC Drama Awards	Grand Prize (Daesang)	See and See Again	Won
2002	SBS Drama Awards	Excellence Award, Actress in a Serial Drama	Like a Flowing River	Won
2005	Singapore International Film Festival	Best Actress	This Charming Girl	Won
2005	Grand Bell Awards	Best New Actress	This Charming Girl	Nominated
2005	Pusan Film Critics Awards	Best New Actress	This Charming Girl	Won
2005	Blue Dragon Film Awards	Best New Actress	This Charming Girl	Won
2005	Korean Film Awards	Best New Actress	This Charming Girl	Won
2006	Mnet KM Music Festival	Music Video Acting Award	That Man, That Woman	Won
2007	Korean Film Awards	Best Actress	Solace	Nominated
2008	KBS Drama Awards	Top Excellence Award, Actress	Women of the Sun	Won
2009	Baeksang Arts Awards	Best Actress (TV)	Women of the Sun	Nominated
