County	McCain #	McCain %	Obama #	Obama %
Carson City	11419	48.2%	11623	49.1%
Churchill	6832	64.4%	3494	33.0%
Clark	257078	39.5%	380765	58.5%
Douglas	14648	56.6%	10672	41.2%
Elko	10969	68.5%	4541	28.4%
Esmeralda	303	69.0%	104	23.7%
Eureka	564	75.7%	144	19.3%
Humboldt	3586	63.3%	1909	33.7%
Lander	1466	69.7%	577	27.5%
Lincoln	1498	71.1%	518	24.6%
Lyon	12154	57.6%	8405	39.8%
Mineral	1131	49.0%	1082	46.9%
Nye	9537	54.5%	7226	41.3%
Pershing	1075	58.6%	673	36.7%
Storey	1247	51.6%	1102	45.6%
Washoe	76880	42.6%	99671	55.3%
