Driver	Constructor	Laps	Time/Retired	Grid
Kimi Räikkönen	Ferrari	66	1:38:19.051	1
Felipe Massa	Ferrari	66	+ 3.228	3
Lewis Hamilton	McLaren - Mercedes	66	+ 4.187	5
Robert Kubica	BMW Sauber	66	+ 5.694	4
Mark Webber	Red Bull - Renault	66	+ 35.938	7
Jenson Button	Honda	66	+ 53.010	13
Kazuki Nakajima	Williams - Toyota	66	+ 58.244	12
Jarno Trulli	Toyota	66	+ 59.435	8
Nick Heidfeld	BMW Sauber	66	+ 1:03.073	9
Giancarlo Fisichella	Force India - Ferrari	65	+ 1 lap	19
Timo Glock	Toyota	65	+ 1 lap	14
David Coulthard	Red Bull - Renault	65	+ 1 lap	17
Takuma Sato	Super Aguri - Honda	65	+ 1 lap	22
Nico Rosberg	Williams - Toyota	41	Engine	15
Fernando Alonso	Renault	34	Engine	2
Rubens Barrichello	Honda	34	Collision damage	11
Heikki Kovalainen	McLaren - Mercedes	21	Accident	6
Anthony Davidson	Super Aguri - Honda	8	Holed radiator	21
Sébastien Bourdais	Toro Rosso - Ferrari	7	Collision damage	16
Nelson Piquet Jr.	Renault	6	Collision	10
Adrian Sutil	Force India - Ferrari	0	Collision	20
Sebastian Vettel	Toro Rosso - Ferrari	0	Collision	18
