Week	Date	Opponent	Result	Attendance
1	September 8, 2002	at Cleveland Browns	W 40–39	72,938
2	September 15, 2002	Jacksonville Jaguars	L 23–16	77,934
3	September 22, 2002	at New England Patriots	L 41–38	68,436
4	September 29, 2002	Miami Dolphins	W 48–30	78,178
5	October 6, 2002	at New York Jets	W 29–25	78,149
6	October 13, 2002	at San Diego Chargers	L 35–34	58,995
7	October 20, 2002	Denver Broncos	L 37–34	78,446
8	October 27, 2002	Oakland Raiders	W 20–10	78,685
9	Bye	Bye	Bye	Bye
10	November 10, 2002	at San Francisco 49ers	L 17–13	67,881
11	November 17, 2002	Buffalo Bills	W 17–16	77,951
12	November 24, 2002	at Seattle Seahawks	L 39–32	56,250
13	December 1, 2002	Arizona Cardinals	W 49–0	77,809
14	December 8, 2002	St. Louis Rams	W 49–10	78,601
15	December 15, 2002	at Denver Broncos	L 31–24	75,947
16	December 22, 2002	San Diego Chargers	W 24–22	77,899
17	December 28, 2002	at Oakland Raiders	L 24–0	62,078
