Date	Opponent	Venue	Result	Attendance
7 August 1993	Heart of Midlothian	H	2–1	43,261
14 August 1993	St. Johnstone	A	2–1	10,152
21 August 1993	Celtic	A	0–0	47,942
28 August 1993	Kilmarnock	H	1–2	44,243
4 September 1993	Dundee	A	1–1	14,211
11 September 1993	Partick Thistle	H	1–1	40,988
18 September 1993	Aberdeen	A	0–2	19,138
25 September 1993	Hibernian	H	2–1	43,200
2 October 1993	Raith Rovers	A	1–1	8,161
6 October 1993	Motherwell	H	1–2	39,816
9 October 1993	Dundee United	A	3–1	11,262
16 October 1993	St. Johnstone	H	2–0	41,960
30 October 1993	Celtic	H	1–2	47,522
3 November 1993	Heart of Midlothian	A	2–2	18,370
6 November 1993	Kilmarnock	A	2–0	19,162
10 November 1993	Dundee	H	3–1	38,477
13 November 1993	Raith Rovers	H	2–2	42,611
20 November 1993	Hibernian	A	1–0	16,506
27 November 1993	Partick Thistle	A	1–1	17,292
1 December 1993	Aberdeen	H	2–0	45,182
4 December 1993	Motherwell	A	2–0	14,069
11 December 1993	Dundee United	H	0–3	43,058
18 December 1993	St. Johnstone	A	4–0	10,056
27 December 1993	Heart of Midlothian	H	2–2	45,116
1 January 1994	Celtic	A	4–2	48,506
8 January 1994	Kilmarnock	H	3–0	44,919
15 January 1994	Dundee	A	1–1	11,014
22 January 1994	Aberdeen	A	0–0	20,267
5 February 1994	Partick Thistle	H	5–1	42,606
12 February 1994	Hibernian	H	2–0	43,265
26 February 1994	Raith Rovers	A	2–1	8,988
5 March 1994	Motherwell	H	2–1	43,669
19 March 1994	St. Johnstone	H	4–0	43,228
26 March 1994	Heart of Midlothian	A	2–1	18,108
29 March 1994	Partick Thistle	A	2–1	14,706
2 April 1994	Aberdeen	H	1–1	45,888
5 April 1994	Dundee United	A	0–0	11,352
16 April 1994	Raith Rovers	H	4–0	42,545
23 April 1994	Dundee United	H	2–1	44,776
26 April 1994	Motherwell	A	1–2	14,050
30 April 1994	Celtic	H	1–1	47,018
3 May 1994	Hibernian	A	0–1	14,517
7 May 1994	Kilmarnock	A	0–1	18,012
14 May 1994	Dundee	H	0–0	41,620
