Tournament	2006	2007	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	A	A	A	2R	1R	1R
French Open	A	A	A	2R	3R	2R	1R
Wimbledon	A	A	A	LQ	1R	2R	1R
US Open	A	A	LQ	1R	1R	2R	1R
Win–Loss	0–0	0–0	0–0	1–2	3–4	3–4	0–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	Not Held	Not Held	A	Not Held	Not Held	Not Held	1R
Win–Loss	0–0	0–0	0–0	0–0	0–0	0–0	0–1
Premier Mandatory	Premier Mandatory	Premier Mandatory	Premier Mandatory	Premier Mandatory	Premier Mandatory	Premier Mandatory	Premier Mandatory
Indian Wells	A	A	A	A	2R	1R	1R
Miami	A	A	A	A	3R	1R	2R
Madrid	Not Held	Not Held	Not Held	A	1R	LQ	1R
Beijing	Tier II	Tier II	Tier II	Prem.	2R	2R	3R
Win–Loss	0–0	0–0	0–0	0–0	4–4	1–3	3–4
Premier 5	Premier 5	Premier 5	Premier 5	Premier 5	Premier 5	Premier 5	Premier 5
Doha	A	A	A	Not Held	Not Held	A	1R
Rome	A	A	A	A	2R	3R	A
Toronto	A	A	A	A	A	1R	A
Cincinnati	A	A	A	A	A	1R	A
Tokyo	A	A	A	A	1R	A	A
Win–Loss	0–0	0–0	0–0	0–0	1–2	2–3	0–1
Statistics	Statistics	Statistics	Statistics	Statistics	Statistics	Statistics	Statistics
Tour Level Win–Loss	0–0	0–2	1–2	6–8	27–26	30–25	14–23
Tour Level Win %	0%	0%	33%	43%	51%	55%	38%
Overall Win–Loss	14–7	26–8	37–16	48–18	32–26	32–27	20–26
Overall Win %	67%	76%	70%	73%	55%	54%	43%
Year End Ranking	717	345	243	71	48	36	80
