Channel	Name	Language	Owner	Group	Type
1	TV1	Malay	RTM	Free-to-air	Terrestrial
2	TV2	Malay	RTM	Free-to-air	Terrestrial
3	TV3	Malay	STMB	Free-to-air	Terrestrial
4	Astro Ria	Malay	Astro	Astro channels	Satellite
5	Astro SuperSport	English	Astro	Astro channels	Satellite
6	Astro Asian Entertainment Channel	Chinese	Astro	Astro channels	Satellite
7	Astro Wah Lai Toi	Cantonese	Astro	Astro channels	Satellite
8	Astro Vaanavil	Tamil	Astro	Astro channels	Satellite
9	CNN International News	English	CNN	News	Satellite
10	Discovery Channel	English (Malay subtitle)	Discovery Communications	Education	Satellite
11	NBC Asia	English (Malay subtitle)	National Geographic Society	Education	Satellite
12	ESPN International Sports	English	ESPN	Sports	Satellite
13	STAR Sports	English	STAR TV	Sports	Satellite
14	HBO International Movies	English (Malay subtitle)	HBO	Movies	Satellite
15	STAR Movies	English (Malay subtitle)	STAR TV	Movies	Satellite
16	MGM Gold	English (Malay subtitle)	Metro Goldwyn Mayer	Movies	Satellite
17	Cartoon Network & Turner Classic Movies	English (Malay subtitle)	Cartoon Network	Animated	Satellite
18	STAR World	English (Malay subtitle)	STAR TV	Entertainment	Satellite
19	Channel [V] International	English (Malay subtitle)	STAR TV	Entertainment	Satellite
20	MTV	English (Malay subtitle)	MTV Networks	Entertainment	Satellite
21	Phoenix Chinese Channel	Chinese	Phoenix Satellite Television	Jade	Satellite
22	STAR Movies	Cantonese (Malay subtitle)	STAR TV	Jade	Satellite
