Rank	Mountain Peak	State	Mountain Range	Location
1	Mount McKinley ( Denali )	Alaska	Alaska Range	63.0690°N 151.0063°W
2	Mauna Kea	Hawaii	Island of Hawai ʻ i	19.8207°N 155.4680°W
3	Mount Whitney	California	Sierra Nevada	36.5786°N 118.2920°W
4	Mount Mitchell	North Carolina	Blue Ridge Mountains	35.7650°N 82.2652°W
5	Mount Washington	New Hampshire	White Mountains	44.2705°N 71.3032°W
6	Mount Rainier	Washington	Cascade Range	46.8529°N 121.7604°W
7	Mount Elbert	Colorado	Sawatch Range	39.1178°N 106.4454°W
8	Shishaldin Volcano	Alaska	Unimak Island	54.7554°N 163.9709°W
9	Tanaga Volcano	Alaska	Tanaga Island	51.8839°N 178.1414°W
10	Mount Chamberlin	Alaska	Brooks Range	69.2775°N 144.9107°W
11	Magazine Mountain	Arkansas	Ouachita Mountains	35.1671°N 93.6447°W
12	Mount Shasta	California	Cascade Range	41.4092°N 122.1949°W
13	Gannett Peak	Wyoming	Wind River Range	43.1842°N 109.6542°W
14	Mount Osborn	Alaska	Seward Peninsula	64.9922°N 165.3294°W
15	Mount Igikpak	Alaska	Brooks Range	67.4129°N 154.9656°W
16	Humphreys Peak	Arizona	San Francisco Peaks	35.3464°N 111.6780°W
17	Wheeler Peak	Nevada	Snake Range	38.9858°N 114.3139°W
18	Mount Vsevidof	Alaska	Umnak Island	53.1256°N 168.6938°W
19	Mount Veniaminof	Alaska	Alaska Peninsula	56.2194°N 159.2975°W
20	Kawaikini	Hawaii	Island of Kaua ʻ i	22.0586°N 159.4973°W
21	Dillingham High Point	Alaska	Kuskokwim Mountains	60.1159°N 159.3241°W
22	Hall Island High Point	Alaska	Hall Island	60.6647°N 173.0887°W
23	Tooth Benchmark	Alaska	Saint Lawrence Island	63.5920°N 170.3804°W
24	Spruce Knob	West Virginia	Allegheny Mountains	38.6999°N 79.5328°W
25	Kings Peak	Utah	Uinta Mountains	40.7763°N 110.3729°W
26	Sierra Blanca Peak	New Mexico	Sacramento Mountains	33.3743°N 105.8087°W
27	San Gorgonio Mountain	California	San Bernardino Mountains	34.0992°N 116.8249°W
28	Katahdin	Maine	Longfellow Mountains	45.9044°N 68.9213°W
29	Peak 4030	Alaska	Nulato Hills	64.4535°N 159.4152°W
30	Mount Baldy	Arizona	White Mountains	33.9059°N 109.5626°W
31	Borah Peak	Idaho	Lost River Range	44.1374°N 113.7811°W
32	Mount Roberts	Alaska	Nunivak Island	60.0280°N 166.2627°W
33	Cloud Peak	Wyoming	Bighorn Mountains	44.3821°N 107.1739°W
34	Harney Peak	South Dakota	Black Hills	43.8658°N 103.5324°W
35	Slide Mountain	New York	Catskill Mountains	41.9992°N 74.3859°W
36	Mount Griggs	Alaska	Alaska Peninsula	58.3534°N 155.0958°W
37	Charleston Peak ( Mount Charleston )	Nevada	Spring Mountains	36.2716°N 115.6956°W
38	Junipero Serra Peak	California	Santa Lucia Range	36.1457°N 121.4191°W
39	Mount Baker	Washington	Cascade Range	48.7768°N 121.8145°W
40	Mount Marcy	New York	Adirondack Mountains	44.1127°N 73.9237°W
41	Mount Hayes	Alaska	Alaska Range	63.6203°N 146.7178°W
42	Mount Marcus Baker	Alaska	Chugach Mountains	61.4374°N 147.7525°W
43	Sacajawea Peak	Oregon	Wallowa Mountains	45.2450°N 117.2929°W
44	Steens Mountain	Oregon	Steens Mountain	42.6364°N 118.5767°W
45	Mount Fairweather ( Fairweather Mountain )	Alaska British Columbia	Saint Elias Mountains	58.9064°N 137.5267°W
46	Delano Peak	Utah	Tushar Mountains	38.3692°N 112.3714°W
47	Black Mountain	Alaska	Brooks Range	68.5598°N 160.3281°W
48	Mount Tozi	Alaska	Ray Mountains	65.6865°N 150.9498°W
49	Mount Olympus	Washington	Olympic Mountains	47.8013°N 123.7108°W
50	Blanca Peak	Colorado	Sangre de Cristo Mountains	37.5775°N 105.4856°W
51	Mount Cleveland	Montana	Lewis Range	48.9249°N 113.8482°W
52	Mount Jefferson	Nevada	Toquima Range	38.7519°N 116.9267°W
53	Mount Torbert	Alaska	Alaska Range	61.4086°N 152.4125°W
54	Mount Chiginagak	Alaska	Aleutian Range	57.1334°N 156.9912°W
