Week	Date	Opponent	Score	Result	Attendance	Record
1	June 26	Montreal Alouettes	33–10	Loss	20,589	0–1
2	July 3	at Toronto Argonauts	32–13	Win	30,822	1–1
3	July 12	Saskatchewan Roughriders	33–28	Loss	20,874	1–2
4	July 17	at Calgary Stampeders	43–16	Loss	31,116	1–3
5	July 24	Edmonton Eskimos	19–13	Loss	21,402	1–4
6	July 31	at Montreal Alouettes	40–33	Loss	20,202	1–5
7	Aug 7	Toronto Argonauts	45–21	Win	19,423	2–5
8	Aug 14	at Winnipeg Blue Bombers	37–24	Loss	25,484	2–6
9	Bye	Bye	Bye	Bye	Bye	Bye
10	Sept 1	Toronto Argonauts	34–31	Loss	25,911	2–7
11	Sept 6	BC Lions	35–12	Loss	18,723	2–8
12	Sept 13	at Edmonton Eskimos	38–33	Loss	37,500	2–9
13	Sept 19	Winnipeg Blue Bombers	25–23	Loss	19,102	2–10
14	Sept 27	at BC Lions	40–10	Loss	31,161	2–11
15	Oct 4	Montreal Alouettes	44–36	Win	20,423	3–11
16	Oct 13	at Montreal Alouettes	42–11	Loss	20,202	3–12
17	Oct 19	at Saskatchewan Roughriders	30–29	Loss	30,945	3–13
18	Oct 24	Calgary Stampeders	28–17	Loss	20,614	3–14
19	Nov 1	at Winnipeg Blue Bombers	44–30	Loss	24,595	3–15
