Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	18–6	Vladimir Matyushenko	TKO (punches and elbows)	UFC 122	1	2:20	Oberhausen , Germany
Win	18–5	Walter Mazurkievicz	Submission (kimura)	Jungle Fight 15	1	1:10	Rio de Janeiro , Brazil
Win	17–5	Vagner Curio	Submission (achilles lock)	Jungle Fight 14	1	0:16	São Paulo , Brazil
Win	16–5	Lew Polley	Submission (guillotine choke)	International Fight League Las Vegas	1	0:20	Las Vegas, Nevada , United States
Win	15–5	Fabio Maldonado	Submission (kneebar)	MTL: Final	1	0:27	Belém , Brazil
Win	14–5	Rafael Monteiro	Submission (kimura)	Mo Team League 1	1	1:20	Belém , Brazil
Win	13–5	Branden Lee Hinkle	Submission (heel hook)	GFC: Evolution	1	0:37	Columbus, Ohio , United States
Win	12–5	Rodrigo Gripp de Sousa	Submission (rear naked choke)	Floripa Fight 4	1	4:50	Natal , Brazil
Loss	11–5	Felipe Arinelli	Decision (unanimous)	Super Challenge 1	2	5:00	São Paulo , Brazil
Win	11–4	Michael Knaap	Submission (armbar)	WCFC: No Guts No Glory	1	3:11	Manchester , England
Win	10–4	Julio Cesar Jamanta	Submission (guillotine choke)	Jungle Fight 5	1	0:52	Manaus , Brazil
Win	9–4	Jose Freitas	Submission (keylock)	Fight for Respect 1	1	N/A	Lisbon , Portugal
Loss	8–4	Chris Monson	TKO (exhaustion)	HOOKnSHOOT: Kings 1	2	3:00	Evansville, Indiana , United States
Loss	8–3	Chris Haseman	Submission (guillotine choke)	Rings: World Title Series 2	1	3:03	Rotterdam , Netherlands
Loss	8–2	Hiromitsu Kanehara	Submission (kimura)	Rings: King of Kings 2000 Block B	2	2:45	Osaka , Japan
Win	8–1	Kevin Cook	Submission (punches)	WEF: New Blood Conflict	1	1:28	Evansville, Indiana , United States
Win	7–1	Moti Horenstein	Submission (keylock)	2 Hot 2 Handle 1	1	2:43	Rotterdam , Netherlands
Win	6–1	Shannon Ritch	Submission (keylock)	Amsterdam Absolute Championship 2	1	0:48	Amsterdam , Netherlands
Win	5–1	Bob Schrijber	Submission (rear naked choke)	World Vale Tudo Championship 9	1	2:11	Aruba
Win	4–1	Jimmy Westfall	Submission (rear naked choke)	World Vale Tudo Championship 9	1	0:56	Aruba
Win	3–1	Heath Herring	Decision (split)	World Vale Tudo Championship 8	1	30:00	Aruba
Win	2–1	Rodney Glunder	Submission (punches)	World Vale Tudo Championship 8	1	1:59	Aruba
Win	1–1	Astravroslakis Astravroslakis	Submission (punches)	World Vale Tudo Championship 8	1	1:00	Aruba
Loss	0–1	Tim Catalfo	DQ (eye gouge)	IVC 4: The Battle	1	9:19	Manaus , Brazil
