Year	Class	Tyres	Team	Co-Drivers	Laps	Pos.	Class Pos.
1981	C	M	WM A.E.R.E.M.	Serge Saulnier Michel Pignard	15	DNF	DNF
1983	C	M	Ford France	Henri Pescarolo	174	DNF	DNF
1986	C1	M	Brun Motorsport	Didier Theys Alain Ferté	89	DNF	DNF
1993	C1	M	Peugeot Talbot Sport	Yannick Dalmas Teo Fabi	374	2nd	2nd
1994	GT1	G	Le Mans Porsche Team Joest Racing	Hans Joachim Stuck Danny Sullivan	343	3rd	2nd
1995	WSC	G	Porsche Kremer Racing	Hans Joachim Stuck Christophe Bouchut	289	6th	2nd
1996	GT1	M	Porsche AG	Hans Joachim Stuck Bob Wollek	353	2nd	1st
1997	GT1	G	Porsche AG	Hans Joachim Stuck Bob Wollek	238	DNF	DNF
1998	GT1	M	Toyota Motorsports Toyota Team Europe	Ralf Kelleners Geoff Lees	330	DNF	DNF
1999	LMGTP	M	Toyota Motorsports Toyota Team Europe	Ralf Kelleners Allan McNish	173	DNF	DNF
