Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 1	@ Golden State	W 130–129 (OT)	Dwyane Wade (37)	Shawn Marion (15)	Dwyane Wade (13)	Oracle Arena 18,723	9–9
19	December 3	@ Utah	W 93–89 (OT)	Dwyane Wade (23)	Udonis Haslem (13)	Chris Quinn (6)	EnergySolutions Arena 19,911	10–9
20	December 6	Oklahoma City	W 105–99 (OT)	Dwyane Wade (38)	Udonis Haslem (14)	Dwyane Wade (7)	American Airlines Arena 17,585	11–9
21	December 8	Charlotte	W 100–96 (OT)	Dwyane Wade (41)	Udonis Haslem (9)	Dwyane Wade , Mario Chalmers (3)	American Airlines Arena 15,024	12–9
22	December 12	Atlanta	L 73–87 (OT)	Dwyane Wade (21)	Dwyane Wade , Udonis Haslem (8)	Chris Quinn , Dwyane Wade (3)	American Airlines Arena 19,600	12–10
23	December 14	@ Memphis	L 86–102 (OT)	Michael Beasley (20)	Shawn Marion , Joel Anthony (13)	Dwyane Wade (5)	FedExForum 12,271	12–11
24	December 15	Milwaukee	L 83–98 (OT)	Mario Chalmers (20)	Mario Chalmers (7)	Mario Chalmers , Dwyane Wade (8)	American Airlines Arena 15,029	12–12
25	December 19	L.A. Lakers	W 89–87 (OT)	Dwyane Wade (35)	Shawn Marion (11)	Mario Chalmers (4)	American Airlines Arena 19,600	13–12
26	December 20	@ New Jersey	W 106–103 (OT)	Dwyane Wade (43)	Udonis Haslem , Joel Anthony (7)	Mario Chalmers (7)	Izod Center 14,139	14–12
27	December 23	Golden State	W 96–88 (OT)	Dwyane Wade (32)	Shawn Marion (16)	Dwyane Wade (8)	American Airlines Arena 17,862	15–12
28	December 26	Chicago	W 90–77 (OT)	Dwyane Wade (28)	Udonis Haslem (14)	Mario Chalmers (6)	American Airlines Arena 19,600	16–12
29	December 28	@ Cleveland	L 86–93 (OT)	Dwyane Wade (29)	Shawn Marion (10)	Dwyane Wade (8)	Quicken Loans Arena 20,562	16–13
30	December 30	Cleveland	W 104–95 (OT)	Dwyane Wade , Mario Chalmers (21)	Shawn Marion (11)	Dwyane Wade (12)	American Airlines Arena 19,600	17–13
