Driver	Constructor	Laps	Time/Retired	Grid
Peter Gethin	BRM	55	1:18:12.60	11
Ronnie Peterson	March - Ford	55	+ 0.01	6
François Cevert	Tyrrell - Ford	55	+ 0.09	5
Mike Hailwood	Surtees - Ford	55	+ 0.18	17
Howden Ganley	BRM	55	+ 0.61	4
Chris Amon	Matra	55	+ 32.36	1
Jackie Oliver	McLaren - Ford	55	+ 1:24.83	13
Emerson Fittipaldi	Lotus - Pratt & Whitney	54	+ 1 Lap	18
Jo Siffert	BRM	53	+ 2 Laps	3
Jo Bonnier	McLaren - Ford	51	+ 4 Laps	21
Graham Hill	Brabham - Ford	47	Gearbox	14
Jean-Pierre Jarier	March - Ford	47	Not classified	24
Mike Beuttler	March - Ford	41	Engine	16
Henri Pescarolo	March - Ford	40	Suspension	10
Andrea de Adamich	March - Alfa Romeo	33	Engine	20
Clay Regazzoni	Ferrari	17	Engine	8
Jacky Ickx	Ferrari	15	Engine	2
Jackie Stewart	Tyrrell - Ford	15	Engine	7
Nanni Galli	March - Ford	11	Electrical	19
Tim Schenken	Brabham - Ford	5	Suspension	9
Silvio Moser	Bellasi - Ford	5	Suspension	22
Helmut Marko	BRM	3	Engine	12
John Surtees	Surtees - Ford	3	Engine	15
Rolf Stommelen	Surtees - Ford	0	Accident	23
