Driver	Constructor	Laps	Time/Retired	Grid
Juan Pablo Montoya	Williams - BMW	67	1:28:48.769	1
David Coulthard	McLaren - Mercedes	67	+1:05.459 secs	10
Jarno Trulli	Renault	67	+1:09.060 secs	4
Fernando Alonso	Renault	67	+1:09.344 secs	8
Olivier Panis	Toyota	66	+1 Lap	7
Cristiano da Matta	Toyota	66	+1 Lap	9
Michael Schumacher	Ferrari	66	+1 Lap	6
Jenson Button	BAR - Honda	66	+1 Lap	17
Jacques Villeneuve	BAR - Honda	65	+2 Laps	13
Nick Heidfeld	Sauber - Petronas	65	+2 Laps	15
Mark Webber	Jaguar - Cosworth	64	Accident	11
Nicolas Kiesa	Minardi - Cosworth	62	+5 Laps	20
Giancarlo Fisichella	Jordan - Ford	60	Engine	12
Jos Verstappen	Minardi - Cosworth	23	Hydraulics	19
Justin Wilson	Jaguar - Cosworth	6	Gearbox	16
Ralf Schumacher	Williams - BMW	1	Collision damage	2
Heinz-Harald Frentzen	Sauber - Petronas	1	Collision damage	14
Rubens Barrichello	Ferrari	0	Collision	3
Kimi Räikkönen	McLaren - Mercedes	0	Collision	5
Ralph Firman	Jordan - Ford	0	Collision	18
