Episode #	Series #	Title	Director	Writer	Original airdate	Viewers (millions)
530	3	"Tough, Love"	Sean Glynn Category:Articles with hCards	Martha Hillier Category:Articles with hCards	2 Cannot handle non-empty timestamp argument! 2010	5.93
531	4	"Queen's Gambit"	Sean Glynn Category:Articles with hCards	Philip Gawthorne Category:Articles with hCards	9 Cannot handle non-empty timestamp argument! 2010	6.00
535	8	"Losing Game"	Paul Gibson Category:Articles with hCards	Shazia Rashid Category:Articles with hCards	7 Cannot handle non-empty timestamp argument! 2010	4.31
539	12	"Running the Gauntlet"	David Innes Edwards Category:Articles with hCards	Chris Murray Category:Articles with hCards	4 Cannot handle non-empty timestamp argument! 2011	6.45
543	16	"Love Thy Neighbour"	Dermot Boyd Category:Articles with hCards	Patrick Homes Category:Articles with hCards	1 Cannot handle non-empty timestamp argument! 2011	6.07
544	17	"Anger Management"	Dermot Boyd Category:Articles with hCards	Patrick Homes Category:Articles with hCards	8 Cannot handle non-empty timestamp argument! 2011	6.27
547	20	"No Credit, No Blame"	Jamie Annett Category:Articles with hCards	Mark Cairns Category:Articles with hCards	1 Cannot handle non-empty timestamp argument! 2011	6.02
548	21	"What You Mean By Home"	Jamie Annett Category:Articles with hCards	Nick Warburton Category:Articles with hCards	8 Cannot handle non-empty timestamp argument! 2011	6.11
552	25	"Coming Second"	David Innes Edwards Category:Articles with hCards	Joe Ainsworth Category:Articles with hCards	5 Cannot handle non-empty timestamp argument! 2011	5.75
556	29	"Tunnel Vision"	Fraser MacDonald Category:Articles with hCards	Andrew Holden Category:Articles with hCards	3 Cannot handle non-empty timestamp argument! 2011	5.81
561	34	"Rescue Me"	Dermot Boyd Category:Articles with hCards	Kim Revill Category:Articles with hCards	7 Cannot handle non-empty timestamp argument! 2011	5.46
565	38	"Out on a Limb"	Sean Glynn Category:Articles with hCards	Lauren Klee Category:Articles with hCards	5 Cannot handle non-empty timestamp argument! 2011	5.24
569	42	"Old Habits"	Rob Evans Category:Articles with hCards	Fiona Peek Category:Articles with hCards	2 Cannot handle non-empty timestamp argument! 2011	5.36
570	43	"Walk The Line"	Edward Bazalgette Category:Articles with hCards	Dana Fainaru Category:Articles with hCards	9 Cannot handle non-empty timestamp argument! 2011	5.30
574	47	"Who Needs Enemies"	David Innes Edwards Category:Articles with hCards	Justin Young Category:Articles with hCards	6 Cannot handle non-empty timestamp argument! 2011	4.78
