STAPLE:	Maize / Corn [A ]	Rice [B ]	Wheat [C ]	Potato [D ]	Cassava [E ]	Soybean (Green) [F ]	Sweet potato [G ]	Yam [Y ]
Component (per 100g portion)	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount
Water (g)	10	12	13	79	60	68	77	70
Energy (kJ)	1528	1528	1369	322	670	615	360	494
Protein (g)	9.4	7.1	12.6	2.0	1.4	13.0	1.6	1.5
Fat (g)	4.74	0.66	1.54	0.09	0.28	6.8	0.05	0.17
Carbohydrates (g)	74	80	71	17	38	11	20	28
Fiber (g)	7.3	1.3	12.2	2.2	1.8	4.2	3	4.1
Sugar (g)	0.64	0.12	0.41	0.78	1.7	0	4.18	0.5
Calcium (mg)	7	28	29	12	16	197	30	17
Iron (mg)	2.71	0.8	3.19	0.78	0.27	3.55	0.61	0.54
Magnesium (mg)	127	25	126	23	21	65	25	21
Phosphorus (mg)	210	115	288	57	27	194	47	55
Potassium (mg)	287	115	363	421	271	620	337	816
Sodium (mg)	35	5	2	6	14	15	55	9
Zinc (mg)	2.21	1.09	2.65	0.29	0.34	0.99	0.3	0.24
Copper (mg)	0.314	0.22	0.434	0.11	0.10	0.13	0.15	0.18
Manganese (mg)	0.485	1.09	3.985	0.15	0.38	0.55	0.26	0.40
Selenium (μg)	15.5	15.1	70.7	0.3	0.7	1.5	0.6	0.7
Vitamin C (mg)	0	0	0	19.7	20.6	29	2.4	17.1
Thiamin (mg)	0.385	0.58	0.383	0.08	0.09	0.44	0.08	0.11
Riboflavin (mg)	0.201	0.05	0.115	0.03	0.05	0.18	0.06	0.03
Niacin (mg)	3.627	4.19	5.464	1.05	0.85	1.65	0.56	0.55
Pantothenic acid (mg)	0.424	1.01	0.954	0.30	0.11	0.15	0.80	0.31
Vitamin B6 (mg)	0.622	0.16	0.3	0.30	0.09	0.07	0.21	0.29
Folate Total (μg)	19	231	38	16	27	165	11	23
Vitamin A (IU)	214	0	9	2	13	180	14187	138
Vitamin E , alpha-tocopherol (mg)	0.49	0.11	1.01	0.01	0.19	0	0.26	0.39
Vitamin K (μg)	0.3	0.1	1.9	1.9	1.9	0	1.8	2.6
Beta-carotene (μg)	97	0	5	1	8	0	8509	83
Lutein + zeaxanthin (μg)	1355	0	220	8	0	0	0	0
Saturated fatty acids (g)	0.667	0.18	0.269	0.03	0.07	0.79	0.02	0.04
Monounsaturated fatty acids (g)	1.251	0.21	0.2	0.00	0.08	1.28	0.00	0.01
Polyunsaturated fatty acids (g)	2.163	0.18	0.627	0.04	0.05	3.20	0.01	0.08
