Year	Competition	Opponent	Score	Venue
Year	Competition	Opponent	Score	Venue
1922	VFL Reserves	Collingwood	1.9 (15) - 8.10 (58)	MCG
1924	VFL Reserves	Geelong	Did Not Play [a ]	Kardinia Park
1932	VFL Reserves	Melbourne	4.10 (34) - 8.12 (60)	MCG
1949	VFL Reserves	Melbourne	9.14 (68) - 17.10 (112)	MCG
1951	VFL Reserves	Carlton	7.9 (51) - 8.15 (63)	MCG
1953	VFL Reserves	Carlton	11.7 (73) - 15.7 (97)	MCG
1971	VFL Reserves	Richmond	8.18 (66) - 14.14 (98)	MCG
1981	VFL Reserves	Geelong	18.6 (114) - 21.14 (140)	MCG
1996	VSFL	North Melbourne	7.10 (52) - 23.18 (156)	MCG
1998	VSFL	Footscray	12.8 (80) - 20.16 (136)	MCG
