Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Wafer, Von Von Wafer	13	6-5	Guard	2008-09	Florida State
Waiters, Granville Granville Waiters	31	6-11	Center	1985-86	Ohio State
Walker, Jimmy Jimmy Walker	11	6-3	Guard	1972-73	Providence
Walker, Wally Wally Walker	42	6-7	Forward	1982-84	Virginia, Charlottesville
Ward, Charlie Charlie Ward	17	6-2	Guard	2004-05	Florida State
Ware, Jim Jim Ware	27	6-7	Forward	1967-68	Oklahoma City
Watts, Slick Slick Watts	00	6-1	Guard	1978-79	Xavier
Weatherspoon, Clarence Clarence Weatherspoon	30	6-7	Forward	2003-05	Southern Mississippi
Wells, Bonzi Bonzi Wells	6	6-5	Guard	2006-08	Ball State
Wells, Owen Owen Wells	30	6-7	Forward	1974-75	Detroit
Wesley, David David Wesley	7	6-1	Guard	2004-06	Baylor
White, James James White	8	6-7	Guard	2009	Cincinnati
White, Rudy Rudy White	32	6-2	Guard	1975-79	Arizona State
Wiggins, Mitchell Mitchell Wiggins	15	6-4	Guard	1984-87, 1989-90	Clemson, Florida State
Wilks, Mike Mike Wilks	29	5-10	Guard	2003-04	Rice
Williams, Art Art Williams	14	6-1	Guard	1967-70	Cal Poly-Pomona
Williams, Bernie Bernie Williams	35	6-3	Guard	1969-71	LaSelle
Williams, Justin Justin Williams	30	6-10	Forward / Center	2008	Wyoming
Williams, Terrence Terrence Williams	1	6-6	Forward	2011-12	Louisville
Williams, Walt Walt Williams	42	6-8	Forward	1999-2002	Maryland
Willis, Kevin Kevin Willis	42, 43	7-0	Forward	1996-98, 2001-02	Michigan State
Willoughby, Bill Bill Willoughby	32	6-8	Forward	1980-82	Morrow, Englewood, N.J. High School
Winchester, Kennard Kennard Winchester	20	6-5	Guard / Forward	1990-93	Averett
Wohl, Dave Dave Wohl	11	6-2	Guard	1973-76	Pennsylvania
Wood, David David Wood	10	6-9	Forward	1990-91	Nevada-Reno
