Date	Opponent	Score	Loss	Record
August 1	@ Marlins	5–2	Volstad (2–2)	50–61
August 2	@ Marlins	5–3	De Los Santos (0–1)	50–62
August 3	@ Marlins	3–2	Nelson (2–1)	51–62
August 4	Nationals	9–4	Cook (14–7)	51–63
August 5	Nationals	8–2	Ayala (1–7)	52–63
August 6	Nationals	Postponed (rain) Rescheduled for August 7	Postponed (rain) Rescheduled for August 7	Postponed (rain) Rescheduled for August 7
August 7	Nationals	6–3	Francis (3–8)	52–64
August 7	Nationals	6–3	Jiménez (8–10)	52–65
August 8	Padres	6–3	Peavy (8–8)	53–65
August 9	Padres	8–3	Cook (14–8)	53–66
August 10	Padres	16–7	Hernández (10–9)	53–67
August 12	Diamondbacks	4–2	Jiménez (8–11)	53–68
August 13	Diamondbacks	6–5	Rauch (4–3)	54–68
August 14	Diamondbacks	6–2	Rusch (5–4)	54–69
August 15	@ Nationals	4–3	Redding (8–8)	55–69
August 16	@ Nationals	13–6	Lannan (6–12)	56–69
August 17	@ Nationals	7–2	Pérez (5–9)	57–69
August 19	@ Dodgers	8–3	Kuroda (7–9)	58–69
August 20	@ Dodgers	4–3	Broxton (3–5)	59–69
August 21	@ Dodgers	3–1	De La Rosa (6–7)	59–70
August 22	Reds	8–5	Hernández (11–10)	59–71
August 23	Reds	7–6	Lincoln (1–4)	60–71
August 24	Reds	4–3 (12)	Lincoln (1–5)	61–71
August 25	@ Giants	4–2	Cain (8–10)	62–71
August 26	@ Giants	7–2	Palmer (0–2)	63–71
August 27	@ Giants	4–1	Hernández (11–11)	63–72
August 29	@ Padres	9–4	Hayhurst (0–1)	64–72
August 30	@ Padres	9–4	Jiménez (9–12)	64–73
August 31	@ Padres	2–1	Buchholz (6–4)	64–74
