Name	Case type	Bullet diameter	Neck diameter	Base diameter	Rim diameter	Case length	Cartridge length
.44-40 Winchester	rimmed bottleneck	10.85 (.427)	11.25 (.443)	11.96 (.471)	13.33 (.525)	33.27 (1.31)	39.37 (1.55)
.444 Marlin	rimmed straight	10.9 (.429)	11.51 (.453)	11.91 (.469)	13.06 (.514)	54.91 (2.162)	65.28 (2.57)
10.4mm Italian M/70	rimmed bottleneck	10.92 (.430)	11.1 (.437)	13.72 (.54)	16.1 (.634)	47.5 (1.87)	62.48 (2.46)
10.4mm Russian Berdan	rimmed bottleneck	10.92 (.430)	11.4 (.449)	14.4 (.567)	16.18 (.637)	56.9 (2.24)	74.93 (2.95)
11mm Murata	rimmed bottleneck	10.97 (.432)	11.81 (.465)	13.77 (.542)	16.05 (.632)	59.94 (2.36)	79.5 (3.13)
11mm Belgian Albini	rimmed bottleneck	11.05 (.435)	11.99 (.472)	14.73 (.580)	17.22 (.678)	50.8 (2.00)	66.04 (2.60)
.425 Westley Richards Magnum	rimless rebated	11.05 (.435)	11.58 (.456)	13.79 (.543)	11.86 (.467)	67.06 (2.64)	83.82 (3.30)
11mm Belgian Comblain	rimmed bottleneck	11.07 (.436)	11.68 (.460)	14.61 (.575)	17.09 (.673)	53.34 (2.10)	70.1 (2.76)
11.15mm Spanish Remington	rimmed bottleneck	11.05 (.439)	11.63 (.458)	13.11 (.516)	16.13 (.635)	57.15 (2.25)	71.63 (2.82)
11.2×60mm Schuler ( Mauser )	rebated rimless	11.18 (.440)	11.81 (.465)	13.00 (.512)	11.81 (.465)	59.69 (2.35)	72.64 (2.86)
11.2×72mm Schuler	rebated rimless	11.18 (.440)	11.81 (.465)	13.61 (.536)	11.91 (.469)	71.12 (2.80)	97.79 (3.85)
10.8×47Rmm Martini Target	rimmed bottleneck	11.20 (.441)	11.76 (.463)	13.11 (.516)	15.01 (.591)	44.45 (1.75)	56.64 (2.23)
11.15mm Werndl M/77	rimmed bottleneck	11.2 (.441)	11.84 (.466)	13.84 (.545)	15.67 (.617)	57.66 (2.27)	76.71 (3.02)
11mm French Gras	rimmed bottleneck	11.3 (.445)	11.89 (.468)	13.82 (.544)	16.94 (.667)	59.44 (2.34)	76.2 (3.00)
.44 Henry	rimmed straight	11.33 (.446)	11.00 (.434)	11.20 (.441)	13.20 (.518)	22.9 (.903)	34.2 (1.345)
11.15mm Mauser	rimmed bottleneck	11.33 (.446)	11.81 (.465)	13.11 (.516)	14.88 (.586)	60.2 (2.37)	76.2 (3.00)
11.43mm Turkish	rimmed bottleneck	11.35 (.447)	12.04 (.474)	14.78 (.582)	16.97 (.668)	58.42 (2.30)	79.56 (3.12)
11.43mm Egyptian	rimmed bottleneck	11.38 (.448)	12.17 (.479)	14.76 (.581)	16.97 (.668)	49.28 (1.94)	69.34 (2.73)
11.4mm Werndl M/73	rimmed straight	11.4 (.449)	11.99 (.472)	12.52 (.493)	14.5 (.571)	50.04 (1.97)	64.77 (2.55)
.500/450 Black Powder No.2 Musket	rimmed bottleneck	11.46 (.451)	12.34 (.486)	14.63 (.576)	16.84 (.663)	59.94 (2.36)	75.95 (2.99)
11.4mm Brazilian Comblain	rimmed bottleneck	11.48 (.452)	12.55 (.494)	14.94 (.588)	17.32 (.682)	51.31 (2.02)	66.55 (2.62)
11.5mm Spanish Reformado	rimmed straight	11.53 (.454)	12.34 (.486)	13.34 (.525)	16.03 (.631)	57.4 (2.26)	77.72 (3.06)
11.7mm Danish Remington	rimmed straight	11.53 (.455)	12.34 (.486)	13.06 (.514)	14.71 (.579)	51.05 (2.01)	62.23 (2.45)
.500/450 Magnum Nitro Express	rimmed bottleneck	11.56 (.455)	12.12 (.479)	14.48 (.570)	16.36 (.644)	82.55 (3.25)	99.18 (3.91)
.450 No.2 Express (3½")	rimmed bottleneck	11.56 (.455)	12.12 (.477)	11.79 (.464)	16.51 (.650)	88.9 (3.50)	108.71 (4.28)
.577/450 Martini-Henry	rimmed bottleneck	11.56 (.455)	12.37 (.487)	16.97 (.668)	18.95 (.746)	59.44 (2.34)	79.56 (3.12)
.45-70 Government	rimmed straight	11.63 (.457)	12.07 (.475)	12.7 (.500)	15.24 (.600)	53.34 (2.1)	68.58 (2.7)
.450 Marlin	belted straight	11.63 (.458)	12.14 (.478)	13.03 (.513)	13.51 (.532)	53.34 (2.100)	64.77 (2.550)
11mm Beaumont M/71/78	rimmed bottleneck	11.63 (.457)	12.29 (.484)	14.63 (.576)	16.89 (.665)	51.82 (2.04)	64.52 (2.54)
.450 Nitro Express (3¼")	rimmed straight	11.63 (.458)	12.12 (.479)	13.92 (.548)	15.9 (.626)	82.55 (3.25)	97.79 (3.85)
.458 Winchester Magnum	belted straight	11.63 (.458)	12.14 (.478)	13.03 (.513)	13.51 (.532)	63.5 (2.5)	82.55 (3.350)
.460 Weatherby Magnum	belted bottleneck	11.63 (.458)	12.32 (.485)	14.80 (.583)	13.54 (.533)	74 (2.91)	95.25 (3.75)
.500/450 No.1 Express	rimmed bottleneck	11.63 (.458)	12.32 (.485)	14.66 (.577)	16.76 (.660)	69.85 (2.75)	82.55 (3.25)
.450 Rigby Rimless	rimless bottleneck	11.63 (.458)	12.38 (.487)	14.66 (.577)	14.99 (.590)	73.50 (2.89)	95.00 (3.74)
11.3mm Beaumont M/71	rimmed bottleneck	11.63 (.464)	12.34 (.486)	14.76 (.581)	16.92 (.666)	50.04 (1.97)	63.25 (2.49)
.500/465 Nitro Express	rimmed bottleneck	11.84 (.466)	12.39 (.488)	14.55 (.573)	16.51 (.650)	82.3 (3.24)	98.04 (3.89)
