Date	Visitor	Score	Home	Record	Points
January 5	Pittsburgh	3–3	Chicago	11–21–7	29
January 8	Chicago	4–0	Pittsburgh	11–22–7	29
January 9	Pittsburgh	2–4	Detroit	11–23–7	29
January 12	Boston	2–2	Pittsburgh	11–23–8	30
January 13	Pittsburgh	1–7	Montreal	11–24–8	30
January 15	Philadelphia	2–4	Pittsburgh	12–24–8	32
January 19	Vancouver	6–1	Pittsburgh	12–25–8	32
January 22	Pittsburgh	0–1	St. Louis	12–26–8	32
January 23	Montreal	3–3	Pittsburgh	12–26–9	33
January 26	St. Louis	2–1	Pittsburgh	12–27–9	33
January 29	Chicago	4–2	Pittsburgh	12–28–9	33
January 30	Pittsburgh	0–4	Philadelphia	12–29–9	33
