Week	Date	Opponent	Result	Attendance
1	September 2, 1984	New England Patriots	L 21–17	48,528
2	September 9, 1984	at St. Louis Cardinals	L 37–7	35,785
3	September 17, 1984	Miami Dolphins	L 21–17	65,455
4	September 23, 1984	New York Jets	L 28–26	48,330
5	September 30, 1984	at Indianapolis Colts	L 31–17	60,032
6	October 7, 1984	Philadelphia Eagles	L 27–17	37,555
7	October 14, 1984	at Seattle Seahawks	L 31–28	59,034
8	October 21, 1984	Denver Broncos	L 37–7	31,204
9	October 28, 1984	at Miami Dolphins	L 38–7	58,824
10	November 4, 1984	Cleveland Browns	L 13–10	33,343
11	November 11, 1984	at New England Patriots	L 38–10	43,313
12	November 18, 1984	Dallas Cowboys	W 14–3	74,391
13	November 25, 1984	at Washington Redskins	L 41–14	51,513
14	December 2, 1984	Indianapolis Colts	W 21–15	20,693
15	December 8, 1984	at New York Jets	L 21–17	45,378
16	December 16, 1984	at Cincinnati Bengals	L 52–21	55,771
