Province, Community	Contestant	Age	Height	Hometown	Geographical Regions
Azua	Odalisse Meran Castro	25	5'10	Padre Las Casas	El Valle de Enriquillo
Baoruco	Sandra Hidalgo Vargas	20	5'10	El Palmar	El Valle de Enriquillo
Barahona	Miguelina Henríquez Stuart	19	5'7	Vicente Noble	El Valle de Enriquillo
Com. Dom. Canada	Mariasela Esmero Melo	23	5'7	Toronto	Exterior
Com. Dom. Connecticut	Carina German Faro	19	5'11	Hartford	Exterior
Com. Dom. Lto. America	Cinthia Peña de Lizio	23	5'5	Caracas	Exterior
Com. Dom. Massachusetts	Lucia Moya Alvo	21	5'9	Boston	Exterior
Com. Dom. Miami	Kayla Soto Ynoa	18	5'8	Miami Beach	Exterior
Com. Dom. NJ	Catia Gordon Ferrano	21	5'11	Newark	Exterior
Com. Dom. NY	Suanny Frotaán de la Cruz	20	6'0	New York	Exterior
Com. Dom. Orlando	Sandy de Lara Tavares	18	6'0	Colonial	Exterior
Com. Dom. Pennsylvania	Jeymi García Espaillat	24	5'9	Pittsburgh	Exterior
Com. Dom. Rhode Island	Roselkys Tavarez Golfo	19	5'9	Providence	Exterior
Dajabón	Elizabeth Rondón García	19	5'9	Loma de Cabrera	Cibao Occidental
Distrito Nacional	Elizabeth Magdalena Matos Palmas	18	6'0	Urbanización de El Rosal	Ozama
Duarte	Kenia Guerra Polanco	22	5'7	Pimentel	Cibao Oriental
Elías Piña	Lizbeth Veras Perez	19	5'6	San Francisco de Bánica	El Valle de Enriquillo
El Seibo	Oliva de Soto Ríos	19	5'10	Santa Cruz de El Seibo	Higüamo
Espaillat	Katherine Wanda Camacho Tatis	23	5'10	Joba Arriba	Cibao Occidental
Hato Mayor	Fernanda Sosa Santana	18	5'8	Sabana de la Mar	Higüamo
Independencia	Denise Rivera Sosa	28	5'11	Jimaní	El Valle de Enriquillo
La Altagracia	Milka Ramos Javier	18	6'0	Bahia Buena	Higüamo
La Romana	Dayani Altagracia Jiménez	21	5'8	La Romana	Higüamo
La Vega	Carolina Gianela Rodríguez Familias	21	5'11	Concepción de La Vega	Cibao Occidental
María Trinidad Sánchez	Bárbara Gómez Batista	18	6'0	Trinidad Sánchez Nagua	Cibao Oriental
Monseñor Nouel	Viviana Zamora Padron	24	5'11	Bonao	Cibao Oriental
Monte Cristi	Ana Lucia de Arollo Sesto	20	5'8	Guayubín	Cibao Occidental
Monte Plata	Elisa Mayos Duarte	24	6'0	Sabana Grande de Boyá	Ozama
Pedernales	María Alejandra Guzmán Carmona	19	5'11	Pedernales	El Valle de Enriquillo
Peravia	Eva Cuello Tavares	22	5'7	Baní	Ozama
Puerto Plata	Milly Grono Suarez	26	5'11	San Felipe de Puerto Plata	Cibao Occidental
Salcedo	Emma Alvarez Granados	23	6'0	Tenares	Cibao Oriental
Samaná	Alicia Oviedo de la Cruz	18	5'8	El Limón	Cibao Oriental
Sánchez Ramírez	María Eugenia Vargas Rosario	18	6'1	Cotuí	Cibao Oriental
San Cristóbal	Elixandra Tobias Carasco	18	6'0	San Cristóbal	Ozama
San Juan	Tatiana Vargas Rosales	25	5'8	Las Matas de Farfán	El Valle de Enriquillo
San Pedro de Macorís	Alisa Castaño Jiménez	21	5'6	Quisqueya	Higüamo
Santiago	Cindy Guerrero Reynoso	24	5'9	Pueblo Nuevo de Navarrete	Cibao Occidental
Santiago Rodríguez	Margarita Rosario Valle	27	6'0	Monción	Cibao Occidental
