Season	Winner	Score	Runner-up	Venue
1986–87	Linfield (1)	2 – 1	Crusaders	The Oval , Belfast
1987–88	Coleraine (1)	1 – 0 ( aet )	Portadown	The Oval , Belfast
1988–89	Glentoran (1)	2 – 1	Linfield	The Oval , Belfast
1989–90	Glenavon (1)	3 – 1	Newry Town	Windsor Park , Belfast
1990–91	Glentoran (2)	2 – 0	Ards	Windsor Park , Belfast
1991–92	Linfield (2)	3 – 0	Larne	The Oval , Belfast
1992–93	Bangor (1)	3 – 0	Coleraine	Windsor Park , Belfast
1993–94	Linfield (3)	2 – 0	Coleraine	The Oval , Belfast
1994–95	Ards (1)	0 – 0 (2–0 pens )	Cliftonville	Windsor Park , Belfast
1995–96	Portadown (1)	2 – 1	Crusaders	Windsor Park , Belfast
1996–97	Crusaders (1)	1 – 0	Glentoran	Windsor Park , Belfast
1997–98	Linfield (4)	1 – 0	Glentoran	Windsor Park , Belfast
1998–99	Linfield (5)	2 – 1	Glentoran	Windsor Park , Belfast
1999–00	Linfield (6)	4 – 0	Coleraine	Windsor Park , Belfast
2000–01	Glentoran (3)	1 – 0	Glenavon	Windsor Park , Belfast
2001–02	Linfield (7)	3 – 1	Glentoran	Windsor Park , Belfast
2002–03	Glentoran (4)	2 – 0	Linfield	Windsor Park , Belfast
2003–04	Cliftonville (1)	1 – 1 (5–4 pens )	Larne	Windsor Park , Belfast
2004–05	Glentoran (5)	2 – 1 ( aet )	Linfield	Windsor Park , Belfast
2005–06	Linfield (8)	3 – 0	Glentoran	Windsor Park , Belfast
2006–07	Glentoran (6)	1 – 0	Cliftonville	Windsor Park , Belfast
2007–08	Linfield (9)	3 – 2	Crusaders	Windsor Park , Belfast
2008–09	Portadown (2)	1 – 0	Newry City	Mourneview Park , Lurgan
2009–10	Glentoran (7)	2 – 2 (4–1 pens )	Coleraine	Windsor Park , Belfast
2010–11	Lisburn Distillery (1)	2 – 1	Portadown	Mourneview Park , Lurgan
2011–12	Crusaders (2)	1 – 0	Coleraine	Ballymena Showgrounds , Ballymena
2012–13	Cliftonville (2)	4 – 0	Crusaders	Windsor Park , Belfast
