Artist	Decade	Genre	Single / Pack name	Release date	Family Friendly	Additional Rock Band 3 Features
Roy Orbison	1980s	Pop-Rock	Roy Orbison 01	Jan.6,2009	Yes	None
Lenny Kravitz	1990s	Rock	Lenny Kravitz 01	Jan.13,2009	Yes	None
Lenny Kravitz	1980s	Rock	Lenny Kravitz 01	Jan.13,2009	Yes	None
Megasus	2000s	Metal	Single	Jan.13,2009	No	None
Honest Bob and the Factory-to-Dealer Incentives	2000s	Indie Rock	Single	Jan.13,2009	Yes	None
Steve Miller Band	1960s	Classic Rock	Steve Miller Band 01	Jan.20,2009	Yes	None
Steve Miller Band	1970s	Classic Rock	Steve Miller Band 01	Jan.20,2009	No	None
Godsmack	2000s	Nu-Metal	Single	Jan.20,2009	Yes	None
Belly	1990s	Alternative	Single	Jan.20,2009	Yes	None
Ghost Hounds	2000s	Rock	Single	Jan.20,2009	Yes	None
Mutemath	2000s	Alternative	Single	Jan.20,2009	Yes	None
Rob Zombie	2000s	Nu-Metal	Single	Jan.20,2009	No	None
Grateful Dead	1960s	Classic Rock	Grateful Dead 02	Jan.27,2009	Yes	None
Grateful Dead	1960s	Classic Rock	Grateful Dead 02	Jan.27,2009	No	None
Grateful Dead	1980s	Classic Rock	Grateful Dead 02	Jan.27,2009	No	None
Grateful Dead	1970s	Classic Rock	Grateful Dead 02	Jan.27,2009	No	None
Grateful Dead	1970s	Classic Rock	Grateful Dead 02	Jan.27,2009	Yes	None
Thin Lizzy	2000s	Classic Rock	Thin Lizzy 01	Feb.3,2009	No	None
Thin Lizzy	2000s	Classic Rock	Thin Lizzy 01	Feb.3,2009	Yes	None
The Pretenders	1980s	Punk	Single	Feb.3,2009	No	None
Pat Benatar	1980s	Classic Rock	Single	Feb.3,2009	Yes	None
Nikko	2000s	Pop-Rock	Single	Feb.3,2009	Yes	None
The Fratellis	2000s	Alternative	The Fratellis 01	Feb.10,2009	No	None
White Zombie	1990s	Metal	Single	Feb.17,2009	No	None
Turbonegro	2000s	Punk	Single	Feb.17,2009	No	None
Drive-By Truckers	2000s	Country	Alt-Country 01	Feb.24,2009	No	None
Lucinda Williams	1990s	Country	Alt-Country 01	Feb.24,2009	No	None
Neko Case	2000s	Country	Alt-Country 01	Feb.24,2009	No	None
Old 97's	2000s	Country	Alt-Country 01	Feb.24,2009	No	None
Steve Earle	2000s	Country	Alt-Country 01	Feb.24,2009	Yes	None
Jimmy Eat World	2000s	Pop-Rock	Jimmy Eat World 01	Feb.24,2009	Yes	None
Jimmy Eat World	1990s	Pop-Rock	Jimmy Eat World 01	Feb.24,2009	Yes	None
No Doubt	2000s	Pop-Rock	Single	Mar.3,2009	Yes	None
Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	Pro Guitar/Bass
The Offspring	1990s	Punk	Single	Mar.10,2009	Yes	None
The Offspring	1990s	Punk	Single	Mar.10,2009	No	None
R.E.M.	1990s	Alternative	Single	Mar.10,2009	Yes	None
Richard Thompson	1990s	Rock	Single	Mar.10,2009	Yes	None
Average White Band	1970s	R&B/Soul/Funk	Get the Funk Out 01	Mar.17,2009	Yes	None
Earth, Wind & Fire	1970s	R&B/Soul/Funk	Get the Funk Out 01	Mar.17,2009	Yes	None
James Brown	1970s	R&B/Soul/Funk	Get the Funk Out 01	Mar.17,2009	No	None
Against Me!	2000s	Punk	Single	Mar.17,2009	No	None
The New Pornographers	2000s	Indie Rock	Single	Mar.17,2009	No	None
Papa Roach	2000s	Alternative	Single	Mar.17,2009	No	None
Papa Roach	2000s	Alternative	Single	Mar.17,2009	Yes	None
Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	No	None
Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	Backing vocals & Pro Guitar/Bass
Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	Backing vocals
Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	No	Backing vocals
Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	None
Journey	1980s	Classic Rock	Single	Mar.31,2009	No	None
Pat Benatar	1970s	Classic Rock	Single	Mar.31,2009	Yes	None
Glasvegas	2000s	Alternative	Single	Mar.31,2009	Yes	None
The Von Bondies	2000s	Alternative	Single	Mar.31,2009	No	None
SpongeBob SquarePants	2000s	Other	SpongeBob SquarePants 01	Mar.31,2009	Yes	None
The Shins	2000s	Indie Rock	Single	Apr.7,2009	No	None
Black Tide	2000s	Metal	Single	Apr.7,2009	No	None
Bullet for My Valentine	2000s	Metal	Single	Apr.7,2009	No	None
Toby Keith	2000s	Country	Toby Keith 01	Apr.7,2009	No	None
Toby Keith	1990s	Country	Toby Keith 01	Apr.7,2009	Yes	None
Toby Keith	2000s	Country	Toby Keith 01	Apr.7,2009	Yes	None
Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	Yes	None
REO Speedwagon	1980s	Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	No	None
REO Speedwagon	1980s	Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	Yes	None
Styx	2000s	Classic Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	Yes	None
Styx	2000s	Classic Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	No	None
Styx / REO Speedwagon	2000s	Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	Yes	None
Hautewerk	2000s	Indie Rock	Hautewerk 01	Apr.21,2009	Yes	None
Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	Yes	None
Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	No	None
Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	No	Pro Guitar/Bass
Franz Ferdinand	2000s	Alternative	Franz Ferdinand 01	May5,2009	Yes	None
Alien Ant Farm	2000s	Rock	Single	May5,2009	No	None
The Allman Brothers Band	1970s	Southern Rock	Single	May5,2009	Yes	None
The Distillers	2000s	Punk	Single	May5,2009	No	None
Luscious Jackson	1990s	Alternative	Single	May5,2009	No	None
Prong	2000s	Metal	Single	May5,2009	No	None
Social Distortion	1990s	Punk	Social Distortion 01	May12,2009	No	None
Social Distortion	1990s	Punk	Social Distortion 01	May12,2009	Yes	None
Disturbed	2000s	Nu-Metal	Single	May12,2009	No	None
Steely Dan	1970s	Classic Rock	Single	May12,2009	Yes	None
Steely Dan	1970s	Classic Rock	Single	May12,2009	No	None
Elvis Costello	1970s	Rock	Single	May12,2009	Yes	None
Alice Cooper	1990s	Rock	Alice Cooper 01	May19,2009	Yes	None
Alice Cooper	1990s	Rock	Alice Cooper 01	May19,2009	No	None
Alice Cooper	1980s	Rock	Alice Cooper 01	May19,2009	No	None
Alice Cooper	2000s	Rock	Alice Cooper 01	May19,2009	No	None
Taking Back Sunday	2000s	Emo	Taking Back Sunday 01	May19,2009	Yes	None
Taking Back Sunday	2000s	Emo	Taking Back Sunday 01	May19,2009	No	None
The Replacements	1980s	Punk	Single	May19,2009	No	None
Ministry	2000s	Metal	Ministry 01	May26,2009	No	None
The Zombies	1960s	Pop-Rock	Single	May26,2009	Yes	None
The Cranberries	1990s	Alternative	Single	May26,2009	Yes	None
Ben Harper and Relentless7	2000s	Alternative	Bonnaroo 01	June2,2009	Yes	None
Coheed and Cambria	2000s	Prog	Bonnaroo 01	June2,2009	Yes	None
Coheed and Cambria	2000s	Prog	Bonnaroo 01	June2,2009	No	None
Phish	1990s	Rock	Bonnaroo 01	June2,2009	Yes	None
Shooter Jennings	2000s	Country	Bonnaroo 01	June2,2009	Yes	None
TV on the Radio	2000s	Indie Rock	Bonnaroo 01	June2,2009	No	None
Iron Maiden	2000s	Metal	Iron Maiden 01	June9,2009	Yes	None
Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	No	None
