Name	Release date	RTM build	Current version	Status support	License	Based on (kernel)	Supported architectures	OS type
Windows NT 3.1	1993-07-27	528	3.10.528 SP3 (1994-11-10)	Unsupported (2001-12-31)	Closed source	NT 3.1	IA-32 , DEC Alpha , MIPS	Workstation, Server
Windows NT 3.5	1994-09-21	807	3.50.807 SP3 (1995-06-21)	Unsupported (2001-12-31)	Closed source	NT 3.5	IA-32 , DEC Alpha, MIPS	Workstation, Server
Windows NT 3.51	1995-05-30	1057	3.51.1057 SP5 (1996-09-19)	Unsupported (2001-12-31)	Closed source	NT 3.51	IA-32 , DEC Alpha, MIPS, PowerPC	Workstation, Server
Windows NT 4.0	1996-08-24	1381	4.00.1381 SP6a (1999-11-30)	Unsupported (2004-12-31)	Closed source	NT 4.0	IA-32 , DEC Alpha, MIPS, PowerPC	Workstation, Server, Embedded PCs
Windows 2000	2000-02-17	2195	5.0 SP4 Rollup 1 v2 (2005-09-13)	Unsupported (2010-07-13)	Shared source	NT 5.0	IA-32 , IA-64	Desktop, Workstation, Server, Embedded PCs
Windows XP	2001-10-25	2600	5.1.2600 SP3 (2008-04-21)	Extended Support Period (2014-04-08)	Shared source	NT 5.1; NT 5.2 ( 64-bit 2003 and x64)	IA-32 , IA-64, x86-64	Desktop, Workstation, Embedded PCs
Windows Server 2003	2003-04-24	3790	5.2.3790 SP2 (2007-03-13)	Supported	Shared source	NT 5.2	IA-32 , IA-64, x86-64	Server, Network Appliance, Embedded PCs, HPC
Windows Fundamentals for Legacy PCs	2006-07-08	2600	RTM (2006-07-08)	Supported	Shared source	NT 5.1	IA-32	Desktop
Windows Vista	2006-11-08	6000 (SP2: 6002)	6.0 SP2 (2009-04-28)	Supported	Closed source , Shared source	NT 6.0	IA-32 , x86-64	Desktop, Workstation
Windows Server 2008	2008-02-27	6001 (SP2: 6002)	6.0 SP2 (2008-02-27)	Supported	Closed source , Shared source	NT 6.0	IA-32 , IA-64, x86-64	Server
Windows Home Server	2007-06-16	3790	5.2	Supported	Closed source	NT 5.2	IA-32 , x86-64	Server
Windows 7	2009-10-22	7600 (SP1: 7601)	6.1	Supported	Closed source , Shared source	NT 6.1	IA-32 , x86-64	Desktop, Workstation, Multi-Touch
Windows Server 2008 R2	2009-10-22	7600 (SP1: 7601)	6.1	Supported	Closed source , Shared source	NT 6.1	IA-64, x86-64	Server
Windows Home Server 2011	2011-04-05	8400	6.1	Supported	Closed source	NT 6.1	x86-64	Server
Windows Server 2012	2012-9-4	9200	6.2	Supported	Closed source , Shared source	NT 6.2	x86-64	Server
Windows 8	2012-10-26	9200	6.2	Supported	Closed source , Shared source	NT 6.2	IA-32 , x86-64, ARM architecture (ARMv7)	Desktop, Workstation, Multitouch
